# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.001920 -0.009625 -0.008619 -0.001999 -0.002193 -0.007801 0.999965
1341846434.914148 0.042883 -0.026905 -0.059253 -0.004248 -0.018051 -0.019200 0.999644
1341846434.946443 0.046074 -0.032618 -0.069235 -0.006413 -0.029780 -0.027534 0.999157
1341846434.978088 0.033807 -0.048614 -0.088273 -0.007250 -0.032608 -0.029274 0.999013
1341846435.014019 0.044845 -0.051737 -0.086481 -0.006001 -0.038853 -0.028673 0.998815
1341846435.045942 0.068376 -0.045987 -0.074766 -0.003324 -0.044601 -0.027116 0.998631
1341846435.077985 0.078568 -0.047837 -0.071682 -0.001413 -0.043978 -0.026325 0.998685
1341846435.113961 0.089333 -0.039836 -0.055024 0.004207 -0.043717 -0.028250 0.998636
1341846435.146181 0.058425 -0.061628 -0.087908 0.004473 -0.041269 -0.026349 0.998791
1341846435.182052 0.043901 -0.084345 -0.145609 0.004665 -0.045207 -0.022156 0.998721
1341846435.213955 0.021628 -0.093594 -0.155159 0.005567 -0.045819 -0.017501 0.998781
1341846435.246495 0.065456 -0.099067 -0.207730 0.010266 -0.061733 -0.007991 0.998008
1341846435.281968 0.057987 -0.085634 -0.221285 0.013003 -0.068967 -0.005458 0.997519
1341846435.319946 0.064447 -0.098276 -0.231915 0.009867 -0.077990 -0.007718 0.996875
1341846435.382078 0.146358 -0.090400 -0.175744 0.011120 -0.105508 -0.019588 0.994163
1341846435.414309 0.133672 -0.106739 -0.186718 0.012447 -0.106709 -0.017430 0.994060
1341846435.450323 0.168966 -0.093106 -0.186963 0.016390 -0.114584 -0.015261 0.993161
1341846435.482273 0.180446 -0.087491 -0.188981 0.017353 -0.112752 -0.015889 0.993345
1341846435.513983 0.194075 -0.086903 -0.203316 0.017661 -0.110220 -0.017830 0.993590
1341846435.550153 0.209716 -0.087885 -0.206358 0.015997 -0.109881 -0.019585 0.993623
1341846435.582003 0.219992 -0.093828 -0.192883 0.014451 -0.113046 -0.022313 0.993234
1341846435.618180 0.256034 -0.070613 -0.244767 0.018036 -0.120988 -0.023845 0.992204
1341846435.650183 0.296115 -0.070178 -0.242267 0.020858 -0.130394 -0.024124 0.990949
1341846435.681920 0.304243 -0.062870 -0.232179 0.024173 -0.131319 -0.025011 0.990730
1341846435.717877 0.312737 -0.051920 -0.234134 0.026444 -0.132727 -0.025069 0.990483
1341846435.750187 0.321900 -0.066645 -0.245431 0.024605 -0.131421 -0.027362 0.990643
1341846435.782022 0.305341 -0.062657 -0.388604 0.034717 -0.121724 -0.044192 0.990972
1341846435.818082 0.326610 -0.065362 -0.390002 0.034796 -0.126058 -0.044742 0.990402
1341846435.849992 0.354045 -0.066959 -0.379650 0.036112 -0.129511 -0.044823 0.989906
1341846435.886101 0.382291 -0.066765 -0.385509 0.036742 -0.134741 -0.045256 0.989165
1341846435.918077 0.412589 -0.077888 -0.377591 0.034433 -0.142403 -0.041656 0.988332
1341846435.950077 0.450080 -0.083968 -0.365830 0.033722 -0.149942 -0.039264 0.987339
1341846435.986080 0.503026 -0.093805 -0.363307 0.034736 -0.161448 -0.037172 0.985569
1341846436.018119 0.541920 -0.102532 -0.390383 0.034383 -0.167921 -0.034938 0.984581
1341846436.050565 0.572015 -0.099807 -0.392295 0.033414 -0.173540 -0.032108 0.983736
1341846436.085970 0.580202 -0.111254 -0.407344 0.030148 -0.176304 -0.030080 0.983414
1341846436.118116 0.705866 -0.103104 -0.417480 0.032276 -0.202438 -0.030909 0.978275
1341846436.153952 0.719212 -0.099323 -0.410234 0.033762 -0.205442 -0.029618 0.977638
1341846436.185994 0.755363 -0.110140 -0.405718 0.033164 -0.208066 -0.027739 0.977159
1341846436.218096 0.772717 -0.111687 -0.405154 0.034139 -0.212507 -0.025846 0.976221
1341846436.253965 0.879730 -0.094127 -0.385108 0.034555 -0.225680 -0.021531 0.973350
1341846436.286007 0.923510 -0.096704 -0.359505 0.031302 -0.227586 -0.022210 0.973001
1341846436.318164 0.945834 -0.100327 -0.301164 0.029172 -0.232660 -0.019649 0.971922
1341846436.354084 0.961226 -0.097181 -0.302511 0.028862 -0.235217 -0.018519 0.971338
1341846436.385958 0.926931 -0.081551 -0.322210 0.031537 -0.210971 -0.027944 0.976584
1341846436.422052 0.990907 -0.130034 -0.388073 0.027194 -0.212504 -0.027930 0.976382
1341846436.453972 0.998295 -0.131585 -0.379598 0.028344 -0.217724 -0.027930 0.975199
1341846436.485966 1.080262 -0.139202 -0.409762 0.028736 -0.221402 -0.028777 0.974334
1341846436.522075 1.112390 -0.143689 -0.391240 0.025545 -0.226031 -0.028675 0.973363
1341846436.553975 1.149777 -0.151667 -0.368973 0.023890 -0.237709 -0.029708 0.970588
1341846436.590103 1.184045 -0.158144 -0.367736 0.022292 -0.246189 -0.029168 0.968526
1341846436.622042 1.221668 -0.167315 -0.341823 0.017350 -0.256053 -0.028487 0.966087
1341846436.654125 1.241081 -0.234130 -0.302983 0.002798 -0.260772 -0.022738 0.965129
1341846436.690078 1.240424 -0.229103 -0.279535 0.004046 -0.266911 -0.023372 0.963429
1341846436.722015 1.188953 -0.309227 -0.181462 -0.005815 -0.275392 -0.036917 0.960605
1341846436.754167 1.235143 -0.319011 -0.135776 -0.007561 -0.294223 -0.036624 0.955005
1341846436.790021 1.259545 -0.316848 -0.107310 -0.003048 -0.308684 -0.037547 0.950418
