# timestamp tx ty tz qx qy qz qw
1311868164.363181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311868164.399026 -0.001028 0.002392 -0.002384 -0.001525 -0.000762 -0.001339 0.999998
1311868164.430940 0.001018 0.002938 -0.004738 -0.003965 -0.003721 -0.002753 0.999981
1311868164.463055 0.005442 0.004421 -0.008176 -0.006082 -0.005191 -0.005272 0.999954
1311868164.499130 0.008694 0.004341 -0.010505 -0.008105 -0.003873 -0.008347 0.999925
1311868164.531025 0.010812 0.002911 -0.013412 -0.009076 -0.000843 -0.010364 0.999905
1311868164.563004 0.012346 0.002308 -0.015633 -0.008843 0.001725 -0.011984 0.999888
1311868164.599061 0.014291 0.001035 -0.018677 -0.007918 0.002787 -0.013675 0.999871
1311868164.631140 0.019063 0.001901 -0.022566 -0.005738 0.002964 -0.014734 0.999871
1311868164.663105 0.022015 0.005472 -0.024549 -0.003776 0.002152 -0.015141 0.999876
1311868164.698987 0.026939 0.006150 -0.028663 -0.003714 -0.000187 -0.014946 0.999881
1311868164.731046 0.031832 0.001927 -0.029981 -0.004634 -0.002127 -0.013913 0.999890
1311868164.763098 0.038997 0.000627 -0.033181 -0.002657 -0.004416 -0.013012 0.999902
1311868164.799138 0.047159 -0.003626 -0.036206 -0.001506 -0.005929 -0.013262 0.999893
1311868164.831006 0.052463 -0.001277 -0.036572 0.003549 -0.005838 -0.014337 0.999874
1311868164.863058 0.061727 -0.000950 -0.038587 0.006843 -0.005603 -0.015442 0.999842
1311868164.899132 0.068988 -0.002052 -0.040402 0.010130 -0.004283 -0.015924 0.999813
1311868164.930933 0.077327 0.002837 -0.043225 0.014187 -0.003878 -0.017770 0.999734
1311868164.963119 0.082487 0.009033 -0.044963 0.015385 -0.003349 -0.019996 0.999676
1311868164.999037 0.089710 0.008000 -0.044013 0.013135 -0.005601 -0.020400 0.999690
1311868165.031122 0.101034 0.006602 -0.045545 0.012681 -0.010312 -0.019728 0.999672
1311868165.063108 0.111205 0.006955 -0.048675 0.012599 -0.014798 -0.021227 0.999586
1311868165.099162 0.122971 0.004920 -0.050839 0.011685 -0.018773 -0.024218 0.999462
1311868165.131014 0.134562 0.002982 -0.052483 0.013314 -0.021959 -0.025950 0.999333
1311868165.163146 0.147794 0.005127 -0.055931 0.015973 -0.025370 -0.028473 0.999145
1311868165.199145 0.161592 0.009863 -0.059859 0.018070 -0.028414 -0.031318 0.998942
1311868165.231193 0.172734 0.014277 -0.062340 0.018383 -0.030019 -0.032941 0.998837
1311868165.263005 0.184179 0.019339 -0.062173 0.017969 -0.033116 -0.034187 0.998705
1311868165.299103 0.195157 0.024377 -0.063324 0.016269 -0.037885 -0.035435 0.998521
1311868165.331226 0.207738 0.026859 -0.064020 0.013086 -0.043408 -0.036744 0.998296
1311868165.363060 0.220346 0.024913 -0.064992 0.010720 -0.047662 -0.037147 0.998115
1311868165.399160 0.231575 0.028870 -0.067296 0.011129 -0.050097 -0.038389 0.997944
1311868165.430962 0.242708 0.036207 -0.068155 0.010857 -0.051775 -0.038947 0.997840
1311868165.463114 0.254361 0.043878 -0.067433 0.007915 -0.053740 -0.037107 0.997834
1311868165.499179 0.261494 0.043738 -0.067727 0.002322 -0.055824 -0.034300 0.997849
1311868165.531124 0.270894 0.043179 -0.068745 -0.002753 -0.058068 -0.032681 0.997774
1311868165.563054 0.280429 0.043374 -0.069749 -0.005760 -0.059126 -0.031481 0.997737
1311868165.599188 0.286359 0.038390 -0.072291 -0.008065 -0.058949 -0.032234 0.997708
1311868165.631159 0.295518 0.042264 -0.074278 -0.005839 -0.059111 -0.034026 0.997654
1311868165.663251 0.301464 0.042916 -0.077106 -0.004947 -0.057248 -0.035203 0.997727
1311868165.699187 0.306850 0.044566 -0.080782 -0.003056 -0.055061 -0.035823 0.997835
1311868165.731234 0.310286 0.047726 -0.086287 -0.001348 -0.053083 -0.036875 0.997908
1311868165.763100 0.312880 0.051347 -0.092235 -0.001290 -0.050179 -0.036825 0.998060
1311868165.799107 0.317522 0.055275 -0.095224 -0.002427 -0.047695 -0.035379 0.998232
1311868165.831186 0.318931 0.057271 -0.101043 -0.004434 -0.045139 -0.034667 0.998369
1311868165.863220 0.322796 0.060499 -0.105936 -0.006643 -0.042867 -0.035367 0.998433
1311868165.899162 0.324219 0.058839 -0.110906 -0.009312 -0.039295 -0.035784 0.998543
1311868165.931154 0.325391 0.059588 -0.116283 -0.009319 -0.035545 -0.034868 0.998716
1311868165.963154 0.324369 0.063548 -0.122931 -0.008144 -0.031603 -0.034079 0.998886
1311868165.999133 0.323957 0.070366 -0.129027 -0.008047 -0.028671 -0.033333 0.999001
1311868166.031204 0.325042 0.074726 -0.134643 -0.009475 -0.025464 -0.030150 0.999176
1311868166.063111 0.322706 0.082355 -0.141347 -0.011379 -0.021761 -0.026067 0.999359
1311868166.099206 0.319885 0.086298 -0.146477 -0.015839 -0.019200 -0.025657 0.999361
1311868166.131254 0.319020 0.089541 -0.152573 -0.018299 -0.018138 -0.026175 0.999325
1311868166.163189 0.318637 0.096797 -0.159258 -0.020176 -0.017498 -0.026780 0.999285
1311868166.199211 0.317453 0.101415 -0.165892 -0.024329 -0.015463 -0.027437 0.999208
1311868166.231050 0.319454 0.109799 -0.169810 -0.026643 -0.013939 -0.026562 0.999195
1311868166.263177 0.319512 0.117042 -0.175819 -0.030008 -0.011310 -0.025155 0.999169
1311868166.299209 0.320314 0.123439 -0.180731 -0.034460 -0.008305 -0.021702 0.999136
1311868166.331189 0.321126 0.131414 -0.184262 -0.039124 -0.006253 -0.018895 0.999036
1311868166.363122 0.322619 0.136759 -0.188801 -0.043645 -0.006042 -0.019797 0.998833
1311868166.399232 0.323314 0.139557 -0.192734 -0.047499 -0.005647 -0.021004 0.998634
1311868166.431171 0.326348 0.141779 -0.197973 -0.049841 -0.004627 -0.022041 0.998503
1311868166.463018 0.331300 0.143639 -0.202429 -0.051925 -0.002284 -0.023193 0.998379
1311868166.499195 0.332760 0.146439 -0.205929 -0.052298 0.001662 -0.023063 0.998364
1311868166.531252 0.337531 0.148650 -0.210630 -0.052898 0.003211 -0.023482 0.998319
1311868166.563132 0.341090 0.149686 -0.212802 -0.052523 0.003813 -0.024588 0.998310
1311868166.599207 0.344158 0.151938 -0.216895 -0.051593 0.004006 -0.024415 0.998362
1311868166.631287 0.349186 0.152942 -0.220403 -0.051263 0.003246 -0.024166 0.998387
1311868166.663284 0.354195 0.153496 -0.223765 -0.050805 0.002586 -0.023286 0.998434
