# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.002257 -0.006875 -0.000704 -0.005549 0.000878 0.000886 0.999984
1341845948.979787 -0.001492 -0.008624 0.005860 -0.011121 0.001487 -0.000251 0.999937
1341845949.011787 0.003965 -0.013607 0.010351 -0.017401 0.003526 -0.000355 0.999842
1341845949.047774 0.002931 -0.025000 0.014538 -0.022105 0.005279 0.002362 0.999739
1341845949.079745 0.005287 -0.031009 0.021069 -0.022273 0.004756 0.007454 0.999713
1341845949.115941 0.007195 -0.034495 0.021280 -0.022815 0.006418 0.009529 0.999674
1341845949.147691 0.008904 -0.039980 0.025435 -0.025270 0.009722 0.010842 0.999575
1341845949.179815 0.006404 -0.050031 0.029972 -0.028188 0.013348 0.013413 0.999424
1341845949.215795 0.010702 -0.057207 0.032405 -0.029762 0.014662 0.014507 0.999344
1341845949.247763 0.015713 -0.059531 0.037837 -0.032591 0.017376 0.015067 0.999204
1341845949.283892 0.019553 -0.068006 0.049526 -0.036435 0.021651 0.015323 0.998984
1341845949.315792 0.024695 -0.075742 0.058066 -0.036848 0.024969 0.016363 0.998875
1341845949.347811 0.022742 -0.085800 0.055459 -0.036313 0.028545 0.015418 0.998814
1341845949.383752 0.020371 -0.090449 0.053997 -0.036622 0.032802 0.012649 0.998711
1341845949.415733 0.016939 -0.093381 0.055718 -0.038018 0.035179 0.011594 0.998590
1341845949.451907 0.015020 -0.099131 0.058555 -0.040652 0.035618 0.010730 0.998481
1341845949.483823 0.019272 -0.102779 0.065201 -0.044834 0.035791 0.009056 0.998312
1341845949.515817 0.025737 -0.110167 0.079400 -0.053200 0.034982 0.009918 0.997922
1341845949.551896 0.026857 -0.113042 0.085234 -0.059199 0.032383 0.008311 0.997686
1341845949.583736 0.030904 -0.112455 0.089371 -0.062818 0.030317 0.006693 0.997542
1341845949.619753 0.032041 -0.119179 0.093528 -0.068919 0.030479 0.005252 0.997143
1341845949.651764 0.035379 -0.126077 0.101962 -0.071410 0.027847 0.006404 0.997038
1341845949.683707 0.031887 -0.127442 0.099015 -0.070605 0.024930 0.003657 0.997186
1341845949.719890 0.030070 -0.118412 0.101341 -0.073684 0.026173 -0.000830 0.996938
1341845949.751778 0.033047 -0.127648 0.108095 -0.083214 0.025906 0.001238 0.996194
1341845949.787857 0.029093 -0.131256 0.112953 -0.088285 0.024274 0.003809 0.995792
1341845949.819784 0.030758 -0.136699 0.117740 -0.095731 0.020860 0.002899 0.995184
1341845949.851908 0.028738 -0.130607 0.117191 -0.105119 0.021235 -0.000084 0.994233
1341845949.887758 0.029542 -0.138635 0.127183 -0.116326 0.018621 0.001002 0.993036
1341845949.920013 0.028348 -0.140775 0.131124 -0.120433 0.014336 0.000853 0.992618
1341845949.955673 0.026108 -0.144591 0.130858 -0.124182 0.013414 0.000557 0.992169
1341845949.987737 0.017110 -0.150854 0.129578 -0.128672 0.015014 -0.002718 0.991570
1341845950.019789 0.013809 -0.156617 0.133459 -0.131781 0.013118 -0.004228 0.991183
1341845950.055847 0.011073 -0.160850 0.135045 -0.134331 0.011738 -0.006059 0.990848
1341845950.087728 0.011458 -0.161673 0.140308 -0.138661 0.011960 -0.009191 0.990225
1341845950.124078 0.010429 -0.168585 0.143683 -0.144583 0.012086 -0.009254 0.989376
1341845950.155757 0.012845 -0.169985 0.153094 -0.146709 0.010474 -0.010623 0.989067
1341845950.187677 0.016756 -0.168416 0.159707 -0.148638 0.010654 -0.013142 0.988747
1341845950.223782 0.013689 -0.178332 0.161447 -0.155749 0.014435 -0.016047 0.987561
1341845950.255885 0.010517 -0.184821 0.166820 -0.159280 0.014419 -0.017032 0.986981
1341845950.287784 0.011636 -0.184447 0.168802 -0.159541 0.013838 -0.017477 0.986940
1341845950.323864 0.015259 -0.182479 0.173639 -0.167515 0.015845 -0.019024 0.985559
1341845950.355780 0.013301 -0.186224 0.179987 -0.180776 0.017638 -0.022646 0.983105
1341845950.387911 0.012091 -0.193655 0.183255 -0.187879 0.016658 -0.024176 0.981753
1341845950.424265 0.017965 -0.202500 0.192449 -0.191374 0.015296 -0.024778 0.981085
1341845950.455762 0.016273 -0.214267 0.194119 -0.189828 0.016595 -0.024679 0.981367
1341845950.487870 0.014244 -0.220088 0.195981 -0.188498 0.015762 -0.026079 0.981601
1341845950.523880 0.015134 -0.222275 0.192841 -0.188924 0.015299 -0.026527 0.981514
1341845950.555793 0.013277 -0.216912 0.191118 -0.195302 0.018228 -0.031957 0.980053
1341845950.587742 0.011888 -0.220651 0.192928 -0.208763 0.018623 -0.031419 0.977284
1341845950.623823 0.012929 -0.235201 0.197011 -0.222118 0.017465 -0.031963 0.974339
1341845950.655770 0.009186 -0.241877 0.198767 -0.230132 0.017636 -0.032578 0.972454
1341845950.691815 0.007647 -0.256285 0.200479 -0.237916 0.016410 -0.031828 0.970625
1341845950.756034 0.007472 -0.270690 0.206690 -0.241835 0.018048 -0.029876 0.969690
1341845950.817895 0.009276 -0.287332 0.215814 -0.247077 0.019408 -0.028923 0.968370
1341845950.853851 0.008687 -0.294347 0.217153 -0.248426 0.021092 -0.029851 0.967961
1341845950.885881 0.010784 -0.302901 0.224872 -0.250961 0.022321 -0.032402 0.967197
1341845950.917771 0.013457 -0.312765 0.233673 -0.251546 0.023028 -0.032225 0.967035
1341845950.953822 0.012728 -0.318192 0.238682 -0.249723 0.025776 -0.031496 0.967462
1341845950.985908 0.012390 -0.321061 0.242212 -0.248266 0.027942 -0.033610 0.967705
1341845951.017817 0.012108 -0.325787 0.245601 -0.250228 0.029074 -0.036456 0.967063
1341845951.053777 0.012756 -0.327588 0.250827 -0.252712 0.030419 -0.035854 0.966398
1341845951.085819 0.013977 -0.335029 0.258710 -0.255653 0.032485 -0.032139 0.965688
1341845951.121819 0.015029 -0.340372 0.263541 -0.259274 0.032653 -0.029026 0.964815
1341845951.153788 0.018098 -0.346899 0.274583 -0.262005 0.032549 -0.026163 0.964163
1341845951.185690 0.015288 -0.359964 0.278461 -0.263819 0.032568 -0.022771 0.963753
1341845951.221846 0.015162 -0.365756 0.283519 -0.263071 0.030075 -0.019892 0.964102
1341845951.253677 0.016090 -0.373410 0.287528 -0.262468 0.025842 -0.017397 0.964438
1341845951.289833 0.016537 -0.370434 0.295629 -0.255276 0.021383 -0.014951 0.966516
1341845951.321746 0.021232 -0.379541 0.293907 -0.252217 0.020261 -0.011045 0.967396
1341845951.353781 0.022680 -0.390485 0.299537 -0.256222 0.019515 -0.007364 0.966393
1341845951.389710 0.022461 -0.405341 0.311629 -0.257633 0.016803 -0.004723 0.966085
1341845951.421759 0.026154 -0.410499 0.313716 -0.252013 0.013530 -0.003753 0.967622
1341845951.453714 0.030192 -0.410858 0.317441 -0.247491 0.011949 -0.000015 0.968816
1341845951.489750 0.028959 -0.416940 0.320451 -0.246938 0.011001 0.001441 0.968968
1341845951.521791 0.036245 -0.417126 0.326641 -0.245474 0.008705 -0.000103 0.969364
1341845951.557734 0.033227 -0.420725 0.328854 -0.246612 0.011251 -0.001861 0.969047
1341845951.621927 0.030546 -0.434845 0.339454 -0.248631 0.005847 -0.002242 0.968578
1341845951.657740 0.031465 -0.423116 0.343472 -0.246669 0.003234 -0.004632 0.969083
1341845951.689997 0.025092 -0.421890 0.350786 -0.246888 0.002120 -0.008725 0.969002
1341845951.721802 0.023241 -0.429871 0.357748 -0.245077 -0.001441 -0.008117 0.969468
1341845951.757837 0.033355 -0.422872 0.354674 -0.241565 -0.006739 -0.007736 0.970330
1341845951.789992 0.034914 -0.426692 0.360269 -0.248892 -0.005946 -0.011067 0.968450
1341845951.825880 0.034823 -0.436653 0.365398 -0.254319 -0.006237 -0.010353 0.967045
1341845951.857655 0.041307 -0.436897 0.370939 -0.254824 -0.009361 -0.011086 0.966879
1341845951.889934 0.040474 -0.434734 0.373485 -0.256234 -0.008973 -0.011420 0.966506
1341845951.925973 0.042336 -0.437063 0.381188 -0.261772 -0.011527 -0.010686 0.965002
1341845951.957775 0.044399 -0.438536 0.383692 -0.264064 -0.013695 -0.009126 0.964365
1341845951.989866 0.040449 -0.436764 0.383055 -0.268556 -0.014393 -0.012743 0.963072
1341845952.026044 0.043405 -0.443902 0.396663 -0.277138 -0.018012 -0.011004 0.960598
