# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.207894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.415622 -0.020934 -0.001526 0.201303 0.001054 -0.008394 -0.000444 0.999964
0.623377 -0.052855 -0.003267 0.437511 0.002289 -0.020971 -0.000485 0.999777
0.830874 -0.101284 -0.006746 0.720571 0.002261 -0.038457 0.000253 0.999258
1.038404 -0.170662 -0.013637 1.040444 0.002488 -0.059683 0.000870 0.998214
1.245873 -0.282136 -0.024676 1.378161 0.004286 -0.084661 -0.003335 0.996395
1.453253 -0.410822 -0.036865 1.724337 0.005142 -0.113351 -0.005387 0.993527
1.660772 -0.579194 -0.043352 2.100347 0.004862 -0.145496 -0.007389 0.989319
1.868002 -0.782567 -0.048589 2.474134 0.004875 -0.180488 -0.009967 0.983515
2.075498 -1.026969 -0.048749 2.849473 0.005072 -0.216773 -0.012004 0.976135
2.282875 -1.288935 -0.055319 3.221541 0.004938 -0.257777 -0.007602 0.966162
2.490144 -1.636085 -0.065103 3.585790 0.002826 -0.304696 -0.011280 0.952379
2.697329 -2.033455 -0.068652 3.934351 0.002730 -0.356284 -0.012833 0.934285
2.904641 -2.484587 -0.065488 4.272416 0.000484 -0.410031 -0.007874 0.912038
3.112001 -3.027328 -0.057584 4.561642 -0.002023 -0.462595 -0.006766 0.886542
3.319374 -3.629901 -0.049925 4.801340 -0.003889 -0.515225 -0.006947 0.857018
3.526893 -4.261995 -0.047926 4.967987 -0.006116 -0.565400 -0.008139 0.824754
3.734395 -4.997125 -0.045525 5.103446 -0.010366 -0.611300 -0.007919 0.791291
3.942122 -5.807304 -0.033742 5.171331 -0.010237 -0.650029 -0.008879 0.759789
4.150266 -6.674180 -0.017195 5.183994 -0.008297 -0.680201 -0.009948 0.732911
4.358512 -7.616588 -0.004531 5.148444 -0.006399 -0.703746 -0.008048 0.710377
4.566885 -8.607390 0.007628 5.080122 -0.004417 -0.720376 -0.007152 0.693532
4.775500 -9.677692 0.023624 4.992898 -0.004802 -0.730502 -0.006499 0.682862
4.984250 -10.803718 0.024163 4.879416 -0.004631 -0.736030 -0.008659 0.676877
5.192878 -11.999400 0.040318 4.766173 -0.005984 -0.738031 -0.008405 0.674688
5.401501 -13.260935 0.053431 4.651002 -0.008024 -0.737175 -0.009660 0.675585
5.610008 -14.579451 0.069092 4.527026 -0.005743 -0.736055 -0.010194 0.676821
5.818377 -15.967587 0.096802 4.408645 -0.006620 -0.735003 -0.011069 0.677941
6.026772 -17.421648 0.117095 4.284709 -0.008098 -0.733684 -0.013647 0.679305
6.235023 -18.924256 0.147277 4.160314 -0.005428 -0.732505 -0.013756 0.680601
6.443143 -20.477691 0.176349 4.042991 -0.006582 -0.731445 -0.013724 0.681731
6.651280 -22.074626 0.200766 3.928493 -0.008980 -0.730645 -0.013972 0.682556
6.859377 -23.681078 0.219931 3.811372 -0.005540 -0.730383 -0.009101 0.682955
7.067377 -25.324993 0.237079 3.696031 -0.005642 -0.730589 -0.006267 0.682765
7.275272 -27.009039 0.254805 3.568550 -0.009908 -0.730618 -0.012263 0.682604
7.483251 -28.696418 0.277920 3.438498 -0.010571 -0.730815 -0.015759 0.682312
7.691129 -30.373579 0.308642 3.311533 -0.008333 -0.731144 -0.013521 0.682038
7.899003 -32.060011 0.333231 3.178971 -0.008698 -0.731097 -0.015762 0.682036
8.107005 -33.731849 0.355193 3.049110 -0.005848 -0.730994 -0.013822 0.682219
8.315006 -35.401783 0.376102 2.921039 -0.004387 -0.730772 -0.012847 0.682487
8.522877 -37.081338 0.394266 2.797565 -0.007350 -0.730383 -0.015009 0.682833
8.730751 -38.763018 0.424365 2.675888 -0.010600 -0.730177 -0.017883 0.682942
8.938756 -40.421947 0.460349 2.554951 -0.009171 -0.730074 -0.016007 0.683119
9.146631 -42.075721 0.487331 2.429289 -0.005091 -0.729949 -0.015146 0.683314
9.354505 -43.739375 0.504638 2.304221 -0.003442 -0.730427 -0.014138 0.682836
9.562503 -45.382666 0.518039 2.190252 -0.004272 -0.731174 -0.009348 0.682114
9.770380 -47.022181 0.527777 2.066763 -0.008545 -0.732393 -0.011870 0.680725
9.978133 -48.653860 0.544144 1.937796 -0.010108 -0.733543 -0.012218 0.679458
10.186010 -50.254877 0.558457 1.788366 -0.004787 -0.734341 -0.012461 0.678650
10.393880 -51.844812 0.569094 1.636310 -0.002674 -0.735076 -0.014483 0.677825
10.601750 -53.417586 0.579364 1.493961 -0.002420 -0.735730 -0.015483 0.677093
10.809650 -54.978319 0.590747 1.349342 -0.003328 -0.736079 -0.015707 0.676705
