# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.207894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.415622 -0.021075 -0.001319 0.202054 0.001062 -0.008423 -0.000438 0.999964
0.623377 -0.052984 -0.002176 0.441484 0.002336 -0.021083 -0.000471 0.999775
0.830874 -0.105755 -0.004828 0.731104 0.002332 -0.038610 0.000240 0.999252
1.038404 -0.160438 -0.013834 1.024724 0.002543 -0.059993 0.000741 0.998195
1.245873 -0.275308 -0.024697 1.365255 0.004353 -0.084947 -0.003502 0.996370
1.453253 -0.399738 -0.037726 1.704478 0.005213 -0.113654 -0.005617 0.993491
1.660772 -0.569051 -0.047194 2.072558 0.004887 -0.145678 -0.007865 0.989289
1.868002 -0.772544 -0.051936 2.447172 0.004897 -0.180699 -0.010447 0.983471
2.075498 -1.018422 -0.049259 2.825546 0.005152 -0.217013 -0.012392 0.976076
2.282875 -1.289050 -0.049708 3.209506 0.005183 -0.258006 -0.007977 0.966096
2.490144 -1.642127 -0.057361 3.578586 0.003127 -0.304840 -0.011715 0.952326
2.697329 -2.042852 -0.064112 3.922640 0.002873 -0.356183 -0.013767 0.934310
2.904641 -2.497431 -0.062032 4.259499 0.000476 -0.409904 -0.008881 0.912085
3.112001 -3.040582 -0.054512 4.540052 -0.002158 -0.462365 -0.007813 0.886653
3.319374 -3.650688 -0.041401 4.786357 -0.003798 -0.515303 -0.008065 0.856962
3.526893 -4.270664 -0.044020 4.954921 -0.006135 -0.565582 -0.009381 0.824616
3.734395 -5.003745 -0.042248 5.090327 -0.010491 -0.611525 -0.009187 0.791102
3.942122 -5.830279 -0.027207 5.158543 -0.010270 -0.650145 -0.010245 0.759671
4.150266 -6.701113 -0.008679 5.167987 -0.008352 -0.680301 -0.011347 0.732797
4.358512 -7.660638 0.004483 5.146938 -0.006887 -0.704142 -0.009217 0.709966
4.566885 -8.659601 0.019017 5.075857 -0.004988 -0.720810 -0.008261 0.693065
4.775500 -9.723325 0.038053 4.987266 -0.005334 -0.731001 -0.007668 0.682313
4.984250 -10.856195 0.041561 4.871661 -0.005148 -0.736595 -0.009823 0.676243
5.192878 -12.052566 0.060478 4.756252 -0.006495 -0.738654 -0.009577 0.673985
5.401501 -13.315011 0.076922 4.640785 -0.008542 -0.737858 -0.010806 0.674816
5.610008 -14.634093 0.096489 4.516857 -0.006295 -0.736807 -0.011291 0.675979
5.818377 -16.022158 0.127320 4.396724 -0.007206 -0.735793 -0.012155 0.677060
6.026772 -17.483099 0.153559 4.273412 -0.008776 -0.734585 -0.014583 0.678304
6.235023 -18.982007 0.187319 4.144863 -0.006136 -0.733430 -0.014660 0.679579
6.443143 -20.536820 0.219365 4.026248 -0.007297 -0.732443 -0.014650 0.680631
6.651280 -22.129471 0.247203 3.909167 -0.009700 -0.731659 -0.014915 0.681438
6.859377 -23.736498 0.270012 3.789143 -0.006345 -0.731459 -0.010003 0.681782
7.067377 -25.383781 0.292583 3.669661 -0.006537 -0.731749 -0.007056 0.681506
7.275272 -27.070242 0.313453 3.535938 -0.010882 -0.731794 -0.013053 0.681314
7.483251 -28.764898 0.341794 3.397505 -0.011671 -0.732006 -0.016444 0.681000
7.691129 -30.442820 0.376932 3.265724 -0.009513 -0.732376 -0.014172 0.680686
7.899003 -32.134432 0.408301 3.125476 -0.010054 -0.732362 -0.016245 0.680647
8.107005 -33.809094 0.438632 2.991392 -0.007275 -0.732348 -0.014130 0.680746
8.315006 -35.484650 0.465063 2.856269 -0.005859 -0.732153 -0.013073 0.680990
8.522877 -37.165227 0.489528 2.727886 -0.008895 -0.731803 -0.015123 0.681290
8.730751 -38.846294 0.524750 2.599541 -0.012193 -0.731617 -0.017922 0.681372
8.938756 -40.512121 0.567298 2.471574 -0.010855 -0.731553 -0.015890 0.681513
9.146631 -42.165321 0.598565 2.339032 -0.006766 -0.731461 -0.014985 0.681685
9.354505 -43.827582 0.619872 2.207094 -0.005199 -0.731950 -0.013916 0.681197
9.562503 -45.475386 0.637756 2.085049 -0.006081 -0.732725 -0.009046 0.680438
9.770380 -47.120505 0.651022 1.953278 -0.010380 -0.733973 -0.011526 0.679001
9.978133 -48.754914 0.670843 1.817984 -0.011988 -0.735196 -0.011836 0.677645
10.186010 -50.356718 0.689180 1.660268 -0.006686 -0.736021 -0.012002 0.676819
10.393880 -51.948817 0.703275 1.502159 -0.004613 -0.736810 -0.013979 0.675939
10.601750 -53.521112 0.716203 1.351759 -0.004390 -0.737500 -0.014980 0.675166
10.809650 -55.078944 0.731880 1.201732 -0.005348 -0.737916 -0.015141 0.674702
