# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.207338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.414692 -0.021577 -0.005468 1.433199 0.001036 -0.004398 -0.000677 0.999990
0.622045 -0.052629 -0.018027 2.927243 0.001775 -0.008929 -0.001042 0.999958
0.829420 -0.105887 -0.030432 4.483804 0.001281 -0.013484 -0.002589 0.999905
1.036910 -0.163833 -0.043506 6.087380 -0.001413 -0.017521 -0.001965 0.999844
1.244242 -0.237660 -0.054419 7.718476 -0.000999 -0.019944 -0.002410 0.999798
1.451596 -0.312494 -0.065135 9.386004 -0.001199 -0.021831 -0.000965 0.999761
1.658960 -0.397853 -0.078926 11.082410 0.000059 -0.023525 -0.001369 0.999722
1.866302 -0.495582 -0.093984 12.813737 0.002253 -0.025160 -0.003656 0.999674
2.073666 -0.600415 -0.116962 14.586805 0.001290 -0.026227 -0.003702 0.999648
2.281017 -0.703197 -0.137643 16.376158 0.000455 -0.027584 -0.003727 0.999612
2.488250 -0.810650 -0.153102 18.183029 0.001345 -0.028884 -0.002929 0.999578
2.695832 -0.921768 -0.172336 20.032861 -0.001224 -0.029298 -0.003581 0.999564
2.903084 -1.030435 -0.182497 21.896041 -0.004511 -0.028340 -0.003319 0.999583
3.110441 -1.140809 -0.187832 23.762926 -0.003452 -0.026784 -0.003598 0.999629
3.317669 -1.238543 -0.189933 25.651409 0.000580 -0.026097 -0.003620 0.999653
3.524925 -1.332039 -0.206506 27.568491 -0.002518 -0.025973 -0.001206 0.999659
3.732256 -1.429989 -0.215001 29.514835 -0.004119 -0.026850 0.004739 0.999620
3.939488 -1.541563 -0.220046 31.477603 -0.000282 -0.028589 0.006006 0.999573
4.146888 -1.666741 -0.241175 33.418582 -0.000654 -0.029922 0.005329 0.999538
4.354202 -1.798226 -0.258202 35.388581 -0.002676 -0.031202 0.003904 0.999502
4.561559 -1.926544 -0.266499 37.360812 -0.005521 -0.031743 0.003608 0.999474
4.768912 -2.071985 -0.273863 39.313705 -0.006366 -0.031916 0.000770 0.999470
4.976146 -2.208256 -0.273302 41.295669 -0.004258 -0.031948 -0.000478 0.999480
5.183503 -2.336730 -0.282857 43.280865 -0.004871 -0.033127 0.000680 0.999439
5.390861 -2.491577 -0.293621 45.248049 -0.003502 -0.033452 -0.000835 0.999434
5.598233 -2.638169 -0.307977 47.164361 -0.000808 -0.034044 -0.001646 0.999419
5.805571 -2.786371 -0.325272 49.114515 -0.004207 -0.033874 0.000083 0.999417
