# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.208477 -0.025351 -0.006175 1.117040 0.001485 -0.001076 0.001138 0.999998
0.416979 0.027546 -0.051290 2.294422 0.002765 -0.003936 0.002402 0.999986
0.625476 0.026568 -0.090109 3.432127 0.003849 -0.005622 0.004048 0.999969
0.833976 0.009469 -0.122142 4.614435 0.003611 -0.006857 0.004456 0.999960
1.042605 -0.021365 -0.145756 5.823765 0.007072 -0.007980 0.002991 0.999939
1.251125 -0.141265 -0.138665 7.071195 0.009500 -0.007943 0.001595 0.999922
1.459603 -0.237899 -0.162822 8.374401 0.000886 -0.007613 0.000509 0.999971
1.668106 -0.252897 -0.160956 9.738799 -0.001153 -0.009083 -0.001404 0.999957
1.876603 -0.253334 -0.183107 11.134965 0.005301 -0.010612 -0.002895 0.999925
2.085105 -0.296615 -0.239635 12.634789 -0.000897 -0.011385 -0.001287 0.999934
2.293607 -0.310104 -0.261502 14.186469 -0.005985 -0.012330 -0.000758 0.999906
2.502107 -0.402752 -0.266317 15.862270 -0.004230 -0.011427 -0.000058 0.999926
2.710606 -0.485759 -0.257957 17.588722 0.000606 -0.009980 0.000306 0.999950
2.919104 -0.509989 -0.275389 19.343387 0.006649 -0.009309 0.001104 0.999934
3.127481 -0.548903 -0.316450 21.167019 0.006609 -0.009414 0.000207 0.999934
3.335979 -0.617439 -0.361324 23.063069 0.008346 -0.008891 -0.002240 0.999923
3.544357 -0.670306 -0.421604 24.985777 0.008516 -0.008933 -0.005195 0.999910
3.752729 -0.729577 -0.471099 26.976094 0.008708 -0.009021 -0.005271 0.999908
3.961233 -0.785937 -0.523254 28.992331 0.007326 -0.009133 -0.005875 0.999914
4.169606 -0.843717 -0.572147 31.036538 0.007420 -0.009285 -0.006447 0.999909
4.377982 -0.904906 -0.631656 33.107150 0.007283 -0.009396 -0.006707 0.999907
4.586357 -0.948821 -0.683532 35.216367 0.004222 -0.010098 -0.006238 0.999921
4.794755 -0.996201 -0.738314 37.340064 0.002524 -0.010705 -0.005917 0.999922
5.003109 -1.167231 -0.751474 39.637982 0.004093 -0.009831 -0.005794 0.999927
