# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.207338 -0.009627 0.008674 1.372410 0.002205 -0.004086 0.000656 0.999989
0.414692 -0.048020 -0.000204 2.809482 0.003329 -0.008571 -0.000184 0.999958
0.622045 -0.068014 -0.024766 4.332683 0.004089 -0.013809 -0.001138 0.999896
0.829420 -0.106577 -0.069242 5.925983 0.002804 -0.019590 -0.002110 0.999802
1.036910 -0.179765 -0.116838 7.547135 -0.000634 -0.023942 -0.001570 0.999712
1.244242 -0.209288 -0.133968 9.249944 -0.000391 -0.028467 -0.001770 0.999593
1.451596 -0.295106 -0.159210 10.906663 -0.000911 -0.030554 -0.000586 0.999533
1.658960 -0.385037 -0.180399 12.563980 0.001183 -0.032228 -0.003104 0.999475
1.866302 -0.540789 -0.189514 14.328690 0.003895 -0.033574 -0.005916 0.999411
2.073666 -0.701037 -0.222186 16.132611 0.003466 -0.034528 -0.007564 0.999369
2.281017 -0.810464 -0.257245 17.878918 0.002844 -0.035796 -0.008095 0.999322
2.488250 -0.920739 -0.267286 19.668143 0.004002 -0.037667 -0.006799 0.999259
2.695832 -0.891216 -0.342310 21.352889 0.000314 -0.040011 -0.007536 0.999171
2.903084 -1.002463 -0.341122 23.162852 -0.002035 -0.039200 -0.007787 0.999199
3.110441 -1.155090 -0.313073 25.075223 -0.000008 -0.038052 -0.007337 0.999249
3.317669 -1.284580 -0.331206 26.942699 0.004330 -0.037036 -0.008022 0.999272
3.524925 -1.419299 -0.362686 28.874333 0.001103 -0.036992 -0.005863 0.999298
3.732256 -1.567204 -0.397902 30.776377 -0.000152 -0.037578 -0.001572 0.999292
3.939488 -1.681336 -0.445671 32.727188 0.003850 -0.039652 -0.001863 0.999204
4.146888 -1.822527 -0.453397 34.722047 0.004336 -0.041923 -0.002630 0.999108
4.354202 -1.926116 -0.471088 36.722957 0.003343 -0.045004 -0.005240 0.998967
4.561559 -2.153556 -0.473622 38.708146 0.000982 -0.044842 -0.005018 0.998981
4.768912 -2.304540 -0.510693 40.657269 0.000532 -0.045842 -0.008845 0.998909
4.976146 -2.477670 -0.528801 42.644432 0.003534 -0.046250 -0.011501 0.998857
5.183503 -2.650673 -0.567098 44.611117 0.003452 -0.047343 -0.011393 0.998808
5.390861 -2.812732 -0.616291 46.543169 0.004989 -0.048365 -0.013616 0.998724
5.598233 -2.989132 -0.668976 48.436835 0.008009 -0.049288 -0.015478 0.998633
5.805571 -3.160397 -0.735621 50.348359 0.005026 -0.049609 -0.015767 0.998632
6.012921 -3.292037 -0.784348 52.223630 0.005960 -0.050812 -0.015101 0.998576
6.220278 -3.497531 -0.800087 54.165426 0.006924 -0.051889 -0.012913 0.998545
6.427659 -3.674818 -0.860969 56.020111 0.002592 -0.052720 -0.012502 0.998528
6.634992 -3.910228 -0.895177 57.877902 0.004583 -0.052625 -0.015265 0.998487
6.842350 -4.127176 -0.951488 59.703947 0.012813 -0.053811 -0.020310 0.998262
7.049705 -4.363629 -1.030450 61.491935 0.012482 -0.054492 -0.026792 0.998077
7.256934 -4.557530 -1.009605 63.247547 0.016973 -0.056028 -0.027623 0.997903
7.464167 -4.731911 -1.093737 64.905290 0.015952 -0.058092 -0.028451 0.997778
7.671396 -4.927824 -1.197694 66.545474 0.014492 -0.059870 -0.028212 0.997702
7.878754 -5.121950 -1.267964 68.121405 0.011008 -0.061646 -0.030696 0.997565
8.086111 -5.320623 -1.327623 69.633616 0.012348 -0.063427 -0.033656 0.997342
8.293470 -5.486687 -1.379431 71.061894 0.019144 -0.065680 -0.033464 0.997096
8.500847 -5.673997 -1.437530 72.436438 0.018360 -0.066540 -0.035372 0.996988
8.708175 -5.916722 -1.487437 73.701208 0.019187 -0.066767 -0.033858 0.997009
8.915403 -6.060617 -1.543536 74.906254 0.024032 -0.066733 -0.027900 0.997091
9.122890 -6.283912 -1.583114 76.039303 0.023726 -0.061826 -0.031765 0.997299
9.330247 -6.362916 -1.641459 77.155031 0.020153 -0.057727 -0.028832 0.997712
9.537749 -6.459484 -1.696437 78.192822 0.019067 -0.048218 -0.028429 0.998250
9.745342 -6.552694 -1.740271 79.180842 0.019915 -0.031208 -0.033309 0.998759
9.953059 -6.586721 -1.742376 80.124055 0.021273 -0.005900 -0.030529 0.999290
10.160830 -6.493686 -1.798747 81.040027 0.020600 0.024934 -0.029360 0.999046
