# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.207338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.414692 -0.021936 -0.003834 1.437066 0.001082 -0.004413 -0.000716 0.999989
0.622045 -0.054485 -0.016287 2.932222 0.001814 -0.008914 -0.001104 0.999958
0.829420 -0.106333 -0.027622 4.495121 0.001371 -0.013585 -0.002673 0.999903
1.036910 -0.165300 -0.041354 6.102655 -0.001337 -0.017628 -0.002021 0.999842
1.244242 -0.239413 -0.051771 7.737271 -0.000904 -0.020078 -0.002490 0.999795
1.451596 -0.314042 -0.059883 9.411780 -0.001000 -0.021997 -0.001082 0.999757
1.658960 -0.399329 -0.074549 11.110470 0.000266 -0.023727 -0.001533 0.999717
1.866302 -0.498665 -0.089658 12.841588 0.002477 -0.025359 -0.003818 0.999668
2.073666 -0.600577 -0.111151 14.619754 0.001571 -0.026609 -0.003820 0.999637
2.281017 -0.705949 -0.131873 16.419614 0.000784 -0.027899 -0.003868 0.999603
2.488250 -0.813885 -0.149877 18.230928 0.001611 -0.029305 -0.003052 0.999565
2.695832 -0.930034 -0.168426 20.080858 -0.000905 -0.029638 -0.003685 0.999554
2.903084 -1.044688 -0.179550 21.945010 -0.004166 -0.028503 -0.003517 0.999579
3.110441 -1.153680 -0.187015 23.819223 -0.003152 -0.027098 -0.003809 0.999621
3.317669 -1.260599 -0.197275 25.698448 0.000746 -0.026064 -0.004021 0.999652
3.524925 -1.357907 -0.211399 27.626266 -0.002245 -0.025911 -0.001730 0.999660
3.732256 -1.451169 -0.225488 29.575661 -0.003866 -0.026873 0.004026 0.999623
3.939488 -1.564707 -0.232491 31.539439 0.000071 -0.028404 0.004978 0.999584
4.146888 -1.684859 -0.252980 33.493677 -0.000224 -0.029921 0.004193 0.999543
4.354202 -1.818442 -0.272460 35.460941 -0.002251 -0.031172 0.002710 0.999508
4.561559 -1.948804 -0.286923 37.428475 -0.005077 -0.031556 0.002076 0.999487
4.768912 -2.089832 -0.293736 39.391250 -0.005884 -0.031938 -0.000737 0.999472
4.976146 -2.227741 -0.298686 41.370614 -0.003877 -0.031890 -0.002023 0.999482
5.183503 -2.359998 -0.308518 43.357379 -0.004526 -0.033034 -0.000797 0.999444
5.390861 -2.504271 -0.321956 45.315119 -0.003216 -0.033542 -0.002303 0.999429
5.598233 -2.645420 -0.336819 47.229912 -0.000476 -0.034261 -0.003126 0.999408
