# timestamp tx ty tz qx qy qz qw
1305031910.765238 -0.868428 0.601535 1.562572 0.821627 -0.392448 0.161121 -0.380728
1305031910.797230 -0.867470 0.609438 1.563100 0.824350 -0.383960 0.161037 -0.383522
1305031910.835208 -0.866329 0.619027 1.562900 0.827721 -0.375333 0.157745 -0.386160
1305031910.865025 -0.865634 0.626747 1.562734 0.831814 -0.365979 0.154328 -0.387721
1305031910.897222 -0.864968 0.635408 1.562146 0.836043 -0.356416 0.149805 -0.389305
1305031910.935211 -0.864171 0.645328 1.561743 0.836609 -0.349115 0.150623 -0.394356
1305031910.965249 -0.864472 0.653952 1.561343 0.837097 -0.341600 0.149079 -0.400441
1305031910.997325 -0.865410 0.663147 1.560268 0.841935 -0.331150 0.143263 -0.401199
1305031911.035050 -0.867940 0.673786 1.559700 0.848071 -0.316615 0.134990 -0.402876
1305031911.065269 -0.870619 0.682515 1.559342 0.853330 -0.301413 0.123849 -0.406988
1305031911.097196 -0.873620 0.690801 1.559372 0.858378 -0.286025 0.113670 -0.410435
1305031911.135664 -0.877540 0.700056 1.560608 0.861535 -0.269287 0.107476 -0.416764
1305031911.165177 -0.879897 0.706863 1.561257 0.862192 -0.259038 0.102050 -0.423215
1305031911.197213 -0.882571 0.713997 1.561909 0.864468 -0.249051 0.095148 -0.426163
1305031911.235651 -0.885569 0.722876 1.562723 0.865968 -0.235841 0.088532 -0.432018
1305031911.265104 -0.887388 0.729565 1.563055 0.868291 -0.225798 0.083426 -0.433735
1305031911.297334 -0.889470 0.737023 1.563257 0.870416 -0.216207 0.078903 -0.435206
1305031911.333191 -0.891281 0.745271 1.563400 0.871092 -0.206419 0.073445 -0.439540
1305031911.365235 -0.893200 0.752149 1.563200 0.872738 -0.198848 0.071081 -0.440153
1305031911.397333 -0.894970 0.759145 1.563522 0.871715 -0.192910 0.070073 -0.444958
1305031911.433256 -0.896725 0.766926 1.562925 0.870857 -0.187053 0.065588 -0.449798
1305031911.465250 -0.898257 0.773965 1.561955 0.870547 -0.182491 0.059152 -0.453152
1305031911.497291 -0.899917 0.781274 1.560414 0.868544 -0.176248 0.051594 -0.460333
1305031911.533251 -0.901448 0.788127 1.558889 0.868756 -0.169415 0.041466 -0.463511
1305031911.565335 -0.903150 0.794484 1.557467 0.867455 -0.164857 0.033799 -0.468190
1305031911.597302 -0.904890 0.801360 1.555632 0.863641 -0.156583 0.026406 -0.478444
1305031911.633337 -0.906792 0.808191 1.553231 0.863911 -0.145380 0.021455 -0.481728
1305031911.665124 -0.908637 0.814056 1.550950 0.864444 -0.133671 0.017545 -0.484316
1305031911.697167 -0.910737 0.819727 1.548087 0.865449 -0.122844 0.013203 -0.485523
1305031911.733203 -0.913159 0.825818 1.544430 0.866757 -0.110026 0.009689 -0.486347
1305031911.765284 -0.915105 0.830568 1.541179 0.868842 -0.099724 0.007153 -0.484890
1305031911.797297 -0.917147 0.835195 1.537818 0.870525 -0.091325 0.004996 -0.483550
1305031911.833338 -0.918954 0.839799 1.534016 0.873351 -0.081148 0.000294 -0.480284
1305031911.865269 -0.920473 0.843650 1.530881 0.875772 -0.072775 -0.007242 -0.477153
1305031911.897159 -0.921553 0.846766 1.528311 0.878068 -0.065074 -0.015651 -0.473832
1305031911.933063 -0.922471 0.850185 1.525651 0.880073 -0.053896 -0.028154 -0.470930
1305031911.965140 -0.923113 0.852451 1.523462 0.882299 -0.041515 -0.042534 -0.466921
1305031911.997252 -0.923300 0.854894 1.521384 0.884096 -0.029649 -0.059108 -0.462604
1305031912.033135 -0.922255 0.857018 1.519182 0.885953 -0.021482 -0.073954 -0.457336
1305031912.065365 -0.921009 0.858633 1.517767 0.886117 -0.015361 -0.083956 -0.455535
1305031912.096953 -0.919577 0.859549 1.516603 0.887430 -0.007346 -0.088915 -0.452226
1305031912.133282 -0.918390 0.860000 1.516100 0.888110 0.005808 -0.090638 -0.450568
1305031912.165138 -0.917326 0.860245 1.515745 0.887102 0.019641 -0.090061 -0.452277
1305031912.197357 -0.916190 0.860045 1.515600 0.886930 0.033403 -0.087525 -0.452304
1305031912.233265 -0.914736 0.859625 1.515775 0.886253 0.046366 -0.083421 -0.453263
1305031912.265090 -0.913167 0.859034 1.516166 0.884207 0.055087 -0.080601 -0.456779
1305031912.297250 -0.911086 0.857747 1.517107 0.878921 0.061580 -0.078638 -0.466392
1305031912.333274 -0.908336 0.856587 1.518213 0.872897 0.066942 -0.079617 -0.476686
1305031912.365250 -0.905682 0.855312 1.519073 0.870295 0.069849 -0.080889 -0.480797
1305031912.397198 -0.903066 0.854424 1.519905 0.866787 0.077085 -0.084941 -0.485307
1305031912.433290 -0.900135 0.853938 1.520614 0.865054 0.088724 -0.089594 -0.485574
1305031912.465142 -0.897236 0.853756 1.520800 0.862779 0.098706 -0.093847 -0.486890
