# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.012632 0.001118 0.002095 0.005205 -0.001789 -0.008820 0.999946
1305031910.835208 -0.021686 -0.002128 0.007608 0.005922 -0.006995 -0.015098 0.999844
1305031910.865025 -0.028982 -0.004113 0.011399 0.007483 -0.013761 -0.022521 0.999624
1305031910.897222 -0.032774 -0.008373 0.017868 0.006933 -0.024025 -0.031218 0.999200
1305031910.935211 -0.028431 -0.018871 0.028734 0.007740 -0.033298 -0.037419 0.998715
1305031910.965249 -0.046938 -0.020950 0.027996 0.013421 -0.034214 -0.041283 0.998471
1305031910.997325 -0.059111 -0.012569 0.032276 0.017218 -0.042417 -0.049664 0.997716
1305031911.035050 -0.072115 -0.021419 0.035234 0.012668 -0.051867 -0.058698 0.996847
1305031911.065269 -0.086087 -0.015257 0.048083 0.015920 -0.067683 -0.069325 0.995168
1305031911.097196 -0.087433 -0.019621 0.053967 0.013420 -0.088770 -0.080092 0.992736
1305031911.135664 -0.085589 -0.029048 0.059935 0.014618 -0.105642 -0.092986 0.989939
1305031911.165177 -0.101409 -0.025660 0.056617 0.019698 -0.114898 -0.100069 0.988128
1305031911.197213 -0.099452 -0.023945 0.065385 0.023200 -0.130629 -0.107031 0.985364
1305031911.235651 -0.105221 -0.026017 0.071005 0.025653 -0.142295 -0.114232 0.982876
1305031911.265104 -0.108588 -0.022764 0.075830 0.029144 -0.154628 -0.123147 0.979834
1305031911.297334 -0.114581 -0.026966 0.079273 0.028762 -0.163952 -0.130350 0.977395
1305031911.333191 -0.120048 -0.030465 0.081625 0.030639 -0.174085 -0.136511 0.974741
1305031911.365235 -0.113520 -0.033321 0.087664 0.033832 -0.185373 -0.141999 0.971766
1305031911.397333 -0.125855 -0.040143 0.086699 0.035724 -0.188179 -0.147103 0.970398
1305031911.433256 -0.136379 -0.035797 0.089696 0.041532 -0.193609 -0.149497 0.968732
1305031911.465250 -0.149117 -0.038231 0.086316 0.041995 -0.199384 -0.149599 0.967524
1305031911.497291 -0.150929 -0.040590 0.088630 0.043863 -0.212808 -0.150092 0.964501
1305031911.533251 -0.152295 -0.040545 0.095041 0.046389 -0.225793 -0.150751 0.961322
1305031911.565335 -0.161795 -0.048416 0.095996 0.046403 -0.234224 -0.148988 0.959577
1305031911.597302 -0.169700 -0.047733 0.100368 0.052727 -0.246720 -0.151424 0.955730
1305031911.633337 -0.168889 -0.042812 0.107758 0.058116 -0.259671 -0.157839 0.950937
1305031911.665124 -0.170294 -0.036238 0.111714 0.062660 -0.269255 -0.165089 0.946742
1305031911.697167 -0.185395 -0.039201 0.116381 0.062112 -0.275294 -0.174542 0.943340
1305031911.733203 -0.188710 -0.036680 0.121261 0.063092 -0.283151 -0.183651 0.939211
1305031911.765284 -0.191542 -0.031251 0.127852 0.064072 -0.290101 -0.192950 0.935150
1305031911.797297 -0.191514 -0.027340 0.135875 0.063899 -0.296453 -0.199511 0.931787
1305031911.833338 -0.202236 -0.025514 0.133257 0.059935 -0.299384 -0.207890 0.929279
1305031911.865269 -0.207398 -0.022510 0.131148 0.055220 -0.306422 -0.214089 0.925863
1305031911.897159 -0.210613 -0.019891 0.135400 0.050272 -0.315577 -0.218613 0.922004
1305031911.933063 -0.215249 -0.018900 0.138426 0.043762 -0.326960 -0.224290 0.916993
1305031911.965140 -0.223772 -0.015779 0.133328 0.036858 -0.338580 -0.230908 0.911420
1305031911.997252 -0.229660 -0.012775 0.123314 0.027684 -0.352292 -0.237148 0.904923
1305031912.033135 -0.222880 -0.017006 0.140126 0.017548 -0.370271 -0.241014 0.896941
1305031912.065365 -0.224478 -0.017836 0.142377 0.010102 -0.380605 -0.242985 0.892186
1305031912.096953 -0.215707 -0.029082 0.153984 0.003220 -0.391992 -0.248870 0.885661
1305031912.133282 -0.223337 -0.026677 0.144400 0.002888 -0.392818 -0.257490 0.882828
1305031912.165138 -0.218342 -0.039478 0.151692 0.003777 -0.401517 -0.269906 0.875169
1305031912.197357 -0.225826 -0.036686 0.146899 0.007626 -0.401473 -0.283258 0.870934
1305031912.233265 -0.219446 -0.026443 0.156497 0.016289 -0.405907 -0.292499 0.865689
1305031912.265090 -0.217481 -0.041694 0.153968 0.017215 -0.407891 -0.301814 0.861532
1305031912.297250 -0.220618 -0.052480 0.156013 0.025161 -0.411628 -0.306046 0.858059
1305031912.333274 -0.214115 -0.044983 0.152445 0.038884 -0.415840 -0.306092 0.855496
1305031912.365250 -0.211903 -0.044825 0.152276 0.044673 -0.419446 -0.306307 0.853373
1305031912.397198 -0.210240 -0.044923 0.153277 0.049161 -0.426401 -0.308240 0.848972
1305031912.433290 -0.207214 -0.045520 0.155632 0.050438 -0.434038 -0.314529 0.842697
1305031912.465142 -0.203923 -0.044243 0.156600 0.052074 -0.441260 -0.320406 0.836611
1305031912.497123 -0.200855 -0.046702 0.155119 0.048912 -0.446298 -0.326454 0.831777
1305031912.533113 -0.199071 -0.048491 0.159436 0.044827 -0.450621 -0.330372 0.828122
1305031912.565146 -0.198538 -0.047740 0.156042 0.041270 -0.454750 -0.332586 0.825158
1305031912.597090 -0.194912 -0.054320 0.155234 0.034723 -0.459611 -0.333417 0.822426
1305031912.633132 -0.189937 -0.053085 0.166506 0.034527 -0.465751 -0.334500 0.818532
1305031912.665220 -0.189534 -0.053892 0.163316 0.031685 -0.469055 -0.339052 0.814879
1305031912.697182 -0.188983 -0.053370 0.168127 0.029769 -0.476367 -0.344696 0.808315
1305031912.733125 -0.187313 -0.055524 0.169400 0.027235 -0.483781 -0.351979 0.800828
1305031912.765193 -0.184905 -0.060822 0.170909 0.025587 -0.488471 -0.358364 0.795183
1305031912.797155 -0.181166 -0.058889 0.171682 0.026570 -0.488653 -0.361909 0.793432
1305031912.833077 -0.179322 -0.060138 0.173604 0.025908 -0.486660 -0.364140 0.793658
1305031912.865153 -0.178409 -0.058428 0.172738 0.028059 -0.482644 -0.366395 0.794998
1305031912.897198 -0.176206 -0.061441 0.174226 0.029935 -0.479192 -0.366258 0.797078
1305031912.933115 -0.175769 -0.065229 0.179488 0.030924 -0.475068 -0.364229 0.800432
1305031912.965034 -0.176241 -0.067010 0.176288 0.035556 -0.471602 -0.365877 0.801537
1305031912.997049 -0.170762 -0.065176 0.175447 0.043684 -0.468173 -0.365542 0.803296
1305031913.033133 -0.171457 -0.071097 0.178447 0.045006 -0.466491 -0.362329 0.805654
1305031913.065209 -0.166711 -0.064044 0.174201 0.049857 -0.463577 -0.357346 0.809268
1305031913.097038 -0.164307 -0.067187 0.173194 0.049594 -0.459689 -0.347913 0.815588
1305031913.133146 -0.160371 -0.066699 0.177765 0.052101 -0.453271 -0.338526 0.822940
1305031913.165211 -0.158642 -0.064775 0.176992 0.053789 -0.442272 -0.325122 0.834145
1305031913.197113 -0.158618 -0.061731 0.186259 0.055457 -0.433818 -0.311564 0.843596
1305031913.233126 -0.156232 -0.059610 0.182423 0.055730 -0.422055 -0.295993 0.855074
1305031913.265022 -0.153666 -0.058086 0.187348 0.056349 -0.411514 -0.278847 0.865867
1305031913.297160 -0.154291 -0.056616 0.189365 0.056664 -0.397903 -0.262719 0.877178
