# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.013527 0.001327 0.000563 0.005129 -0.001350 -0.008402 0.999951
1305031910.835208 -0.020302 -0.003314 0.005447 0.005320 -0.007401 -0.014538 0.999853
1305031910.865025 -0.032014 -0.007261 0.006494 0.006370 -0.012515 -0.022838 0.999641
1305031910.897222 -0.036039 -0.011431 0.013772 0.005861 -0.022564 -0.031596 0.999229
1305031910.935211 -0.033547 -0.021031 0.023628 0.006847 -0.031289 -0.037462 0.998785
1305031910.965249 -0.051015 -0.022145 0.024212 0.013040 -0.032590 -0.042079 0.998497
1305031910.997325 -0.064985 -0.017322 0.022228 0.015426 -0.039833 -0.050776 0.997796
1305031911.035050 -0.076939 -0.024182 0.029138 0.011762 -0.050026 -0.060211 0.996862
1305031911.065269 -0.094027 -0.023810 0.029954 0.012223 -0.064024 -0.070572 0.995375
1305031911.097196 -0.096942 -0.027936 0.039620 0.010170 -0.085078 -0.082480 0.992902
1305031911.135664 -0.096862 -0.033661 0.045556 0.012211 -0.101507 -0.093506 0.990355
1305031911.165177 -0.105342 -0.034480 0.040229 0.016081 -0.113391 -0.101589 0.988212
1305031911.197213 -0.113698 -0.034516 0.043222 0.018446 -0.124797 -0.108293 0.986082
1305031911.235651 -0.124090 -0.038312 0.047598 0.019982 -0.134823 -0.115034 0.983967
1305031911.265104 -0.127622 -0.037898 0.046648 0.021982 -0.146430 -0.123592 0.981224
1305031911.297334 -0.137461 -0.041578 0.052474 0.021845 -0.155043 -0.131032 0.978936
1305031911.333191 -0.142505 -0.044956 0.054397 0.023593 -0.165159 -0.136916 0.976432
1305031911.365235 -0.142058 -0.047776 0.061511 0.026551 -0.174527 -0.143059 0.973843
1305031911.397333 -0.151363 -0.049758 0.064030 0.030796 -0.178504 -0.147803 0.972287
1305031911.433256 -0.160651 -0.046574 0.064615 0.035943 -0.184087 -0.149973 0.970736
1305031911.465250 -0.171366 -0.046402 0.066271 0.037766 -0.190904 -0.150327 0.969294
1305031911.497291 -0.181295 -0.049023 0.066696 0.039036 -0.201362 -0.150740 0.967061
1305031911.533251 -0.185046 -0.049747 0.071593 0.041196 -0.213387 -0.151280 0.964304
