# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 0.001971 -0.008781 0.006247 -0.004512 -0.001434 -0.000370 0.999989
1305031102.243211 -0.000552 0.003078 0.001167 0.001297 -0.000379 -0.002328 0.999996
1305031102.275326 -0.010252 0.029683 -0.004625 0.011461 0.002720 -0.005979 0.999913
1305031102.311267 -0.006906 0.043691 0.018285 0.013293 -0.001744 -0.001936 0.999908
1305031102.343233 0.011728 0.042129 0.019565 0.009888 -0.007897 0.005588 0.999904
1305031102.375329 0.010285 0.043998 0.020118 0.010251 -0.007651 0.004501 0.999908
1305031102.411258 0.009968 0.044507 0.021491 0.010573 -0.008003 0.004677 0.999901
1305031102.443271 0.004989 0.049711 -0.000395 0.010832 -0.006344 0.002593 0.999918
1305031102.475318 0.018221 0.038400 0.014919 0.008642 -0.009954 0.005049 0.999900
1305031102.511219 0.016806 0.035789 0.013173 0.007147 -0.009884 0.007343 0.999899
1305031102.543220 0.014965 0.040757 0.021189 0.009564 -0.009278 0.005058 0.999898
1305031102.575286 0.028041 0.046051 0.015689 0.012740 -0.015098 0.008706 0.999767
1305031102.611233 0.029171 0.041603 -0.017390 0.014847 -0.009864 0.006359 0.999821
1305031102.643265 0.029192 0.041589 -0.017251 0.014861 -0.009858 0.006348 0.999821
1305031102.675285 0.028475 0.047416 -0.016714 0.017859 -0.009508 0.007608 0.999766
1305031102.711263 0.024606 0.043220 -0.015588 0.015293 -0.007872 0.007031 0.999827
1305031102.743234 0.024518 0.045413 -0.011796 0.016058 -0.007589 0.006149 0.999823
1305031102.775472 0.022990 0.054964 -0.023726 0.019995 -0.008720 0.006010 0.999744
1305031102.811232 0.029555 0.042697 -0.013993 0.014998 -0.009856 0.006625 0.999817
1305031102.843290 0.031559 0.044686 -0.018242 0.015048 -0.009569 0.006904 0.999817
1305031102.875363 0.019688 0.044186 -0.017587 0.017655 -0.005927 0.007967 0.999795
1305031102.911185 0.021890 0.072247 -0.026372 0.031924 -0.008642 0.014333 0.999350
1305031102.943229 0.021977 0.072245 -0.026352 0.031907 -0.008685 0.014260 0.999351
1305031102.975203 0.024838 0.070382 -0.027214 0.030555 -0.011026 0.014625 0.999365
1305031103.011215 0.037936 0.078564 -0.051137 0.033568 -0.021464 0.017532 0.999052
1305031103.043227 0.037838 0.078447 -0.051173 0.033529 -0.021440 0.017605 0.999053
1305031103.075319 0.064097 0.089469 -0.055115 0.039959 -0.036851 0.018746 0.998346
1305031103.111240 0.053716 0.067611 -0.054792 0.027565 -0.029148 0.021143 0.998971
1305031103.143318 0.066150 0.061939 -0.055639 0.023327 -0.034229 0.020574 0.998930
1305031103.175452 0.068135 0.062570 -0.056957 0.022802 -0.034691 0.019136 0.998955
1305031103.211220 0.083994 0.063943 -0.061871 0.021363 -0.043613 0.012467 0.998742
1305031103.243216 0.094058 0.051255 -0.072480 0.011166 -0.050333 0.008821 0.998631
1305031103.275370 0.102623 0.036072 -0.075137 0.000122 -0.054699 0.005013 0.998490
1305031103.311210 0.121113 0.040359 -0.082971 0.001452 -0.067305 0.000183 0.997731
1305031103.343223 0.121120 0.041005 -0.083844 0.001675 -0.067398 0.000076 0.997725
1305031103.375327 0.121829 0.047933 -0.085524 0.004971 -0.067046 0.000059 0.997737
