# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.008570 -0.003584 -0.003769 0.000553 -0.002503 -0.000463 0.999997
1341846313.721918 0.018695 0.002421 -0.005712 0.001105 -0.004300 0.000593 0.999990
1341846313.753994 0.025133 0.001128 0.001024 0.000409 -0.004876 0.002018 0.999986
1341846313.789969 0.032237 -0.002110 -0.000509 0.001063 -0.005608 0.000589 0.999984
1341846313.822075 0.044210 0.001782 -0.008964 0.001587 -0.005373 -0.000282 0.999984
1341846313.853928 0.051228 -0.000217 -0.006856 0.000604 -0.003094 -0.001139 0.999994
1341846313.890011 0.053855 0.002503 -0.009408 0.000818 -0.001093 -0.000798 0.999999
1341846313.922055 0.064780 0.008137 -0.009949 -0.000696 -0.001693 0.001070 0.999998
1341846313.957927 0.097638 0.009395 -0.001415 -0.002545 -0.000897 0.002487 0.999993
1341846313.990058 0.107806 0.010338 -0.001443 -0.003523 0.004462 0.003288 0.999978
1341846314.022042 0.077291 0.013394 -0.004864 -0.005387 0.010766 0.004048 0.999919
1341846314.057816 0.102748 0.013967 0.008053 -0.009074 0.011596 0.006057 0.999873
1341846314.089801 0.118477 0.009297 0.009218 -0.008782 0.015289 0.006835 0.999821
1341846314.122037 0.113423 0.019648 -0.000243 -0.008625 0.020180 0.009595 0.999713
1341846314.157989 0.129724 0.017021 0.012175 -0.011184 0.022306 0.010511 0.999633
1341846314.190094 0.132187 0.016574 0.006669 -0.010990 0.026336 0.011363 0.999528
1341846314.225969 0.140127 0.021551 -0.004159 -0.012906 0.027849 0.014894 0.999418
1341846314.257923 0.144395 0.018944 0.021456 -0.015091 0.030117 0.014022 0.999334
1341846314.290052 0.146151 0.015118 0.008497 -0.014209 0.031910 0.012749 0.999308
1341846314.325981 0.155866 0.021798 0.004768 -0.014491 0.032442 0.010996 0.999308
1341846314.357905 0.164812 0.018725 0.020070 -0.015648 0.035066 0.010150 0.999211
1341846314.389899 0.165113 0.016045 0.016665 -0.014375 0.038284 0.009078 0.999122
1341846314.427905 0.176419 0.020378 0.004199 -0.014093 0.039542 0.007935 0.999087
1341846314.493987 0.184882 0.015444 0.012182 -0.013012 0.049355 -0.000798 0.998696
1341846314.526085 0.175643 0.017314 0.005099 -0.012897 0.054163 -0.001915 0.998447
1341846314.558292 0.199745 0.017723 0.011833 -0.014049 0.053989 -0.000942 0.998442
1341846314.594085 0.211847 0.010718 0.012145 -0.013402 0.057734 -0.000970 0.998242
1341846314.626096 0.210725 0.017429 -0.000299 -0.012239 0.062528 -0.000131 0.997968
1341846314.658455 0.216480 0.017926 0.000972 -0.014311 0.064471 -0.001035 0.997816
1341846314.694004 0.229443 0.009642 0.021217 -0.014799 0.067405 -0.002395 0.997613
1341846314.725910 0.230766 0.005381 0.023582 -0.011092 0.070261 0.002780 0.997463
1341846314.761942 0.233000 0.005800 0.011917 -0.007378 0.070830 0.006392 0.997441
1341846314.794030 0.243566 0.002178 -0.000139 -0.004842 0.072980 0.006708 0.997299
1341846314.826092 0.250673 0.002853 -0.022772 -0.002592 0.077054 0.007120 0.996998
1341846314.862145 0.258147 0.005230 -0.026501 -0.002287 0.080539 0.007964 0.996717
1341846314.894072 0.264114 0.004618 -0.023656 -0.002617 0.084442 0.009516 0.996380
1341846314.925969 0.267597 0.005014 -0.031211 -0.002591 0.087170 0.012827 0.996107
1341846314.961937 0.275763 0.010451 -0.049991 -0.005399 0.087195 0.019374 0.995988
1341846314.994564 0.274856 0.008354 -0.048717 -0.008638 0.089032 0.015949 0.995864
1341846315.029900 0.292787 0.010597 -0.030859 -0.008415 0.091169 0.013043 0.995714
