# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.005871 0.008775 0.002051 -0.009692 -0.000510 0.003993 0.999945
1305031790.713097 0.012404 0.014923 0.005397 -0.020582 -0.001772 0.007869 0.999756
1305031790.745223 0.023089 0.021145 0.009289 -0.029269 -0.004110 0.013646 0.999470
1305031790.781258 0.030653 0.027269 0.009991 -0.038625 -0.003759 0.020882 0.999028
1305031790.813207 0.036277 0.035196 0.010605 -0.050507 -0.002804 0.028814 0.998304
1305031790.845151 0.044128 0.040453 0.013367 -0.063163 -0.002828 0.035928 0.997352
1305031790.882094 0.053291 0.042701 0.014655 -0.074894 -0.000841 0.042906 0.996268
1305031790.913129 0.061257 0.039747 0.012195 -0.084963 0.003668 0.049488 0.995148
1305031790.945171 0.065623 0.040525 0.012100 -0.091815 0.009500 0.056618 0.994120
1305031790.981159 0.065760 0.035761 0.011438 -0.097023 0.016288 0.065063 0.993020
1305031791.013075 0.069077 0.024427 0.004386 -0.099656 0.022412 0.078145 0.991695
1305031791.045137 0.088970 0.008767 -0.001744 -0.095148 0.025386 0.085954 0.991420
1305031791.081293 0.090642 0.012379 -0.010710 -0.082424 0.036098 0.099852 0.990925
1305031791.113136 0.106856 -0.008761 -0.012294 -0.073457 0.043823 0.106584 0.990618
1305031791.145096 0.133817 -0.031949 -0.034066 -0.055902 0.053897 0.108782 0.991028
1305031791.181287 0.119203 -0.021244 -0.046201 -0.028529 0.078741 0.117707 0.989511
1305031791.213098 0.134872 -0.049069 -0.070534 -0.010044 0.093664 0.115130 0.988874
1305031791.245087 0.143299 -0.072630 -0.120721 0.009559 0.112783 0.107176 0.987776
1305031791.281340 0.143067 -0.082507 -0.129709 0.030996 0.133398 0.111277 0.984308
1305031791.313088 0.130356 -0.093096 -0.140246 0.060564 0.157903 0.111659 0.979250
1305031791.345123 0.183519 -0.111218 -0.206517 0.078208 0.158653 0.117337 0.977213
1305031791.382161 0.184689 -0.140138 -0.190952 0.092216 0.175865 0.127080 0.971812
1305031791.413087 0.293857 -0.270699 -0.312811 0.069737 0.160101 0.126783 0.976438
1305031791.445165 0.345201 -0.290196 -0.359371 0.086637 0.156507 0.134895 0.974578
1305031791.481375 0.348670 -0.277153 -0.357103 0.112214 0.165336 0.146895 0.968759
1305031791.513084 0.380858 -0.381161 -0.395788 0.106857 0.165258 0.157060 0.967783
1305031791.545065 0.388658 -0.390529 -0.403330 0.125671 0.170331 0.159615 0.964218
1305031791.581127 0.408563 -0.439874 -0.430159 0.131762 0.174073 0.172031 0.960595
1305031791.613194 0.434391 -0.487252 -0.454900 0.137100 0.174902 0.177172 0.958761
1305031791.645074 0.422477 -0.525472 -0.480311 0.150361 0.183881 0.175466 0.955401
1305031791.681062 0.390620 -0.518270 -0.485409 0.176729 0.198690 0.174768 0.948022
1305031791.713242 0.352126 -0.512005 -0.512085 0.199032 0.213760 0.178193 0.939649
1305031791.745148 0.376027 -0.571439 -0.561994 0.203006 0.218917 0.178087 0.937630
1305031791.781286 0.420218 -0.615168 -0.607230 0.209204 0.221581 0.171170 0.936929
1305031791.813247 0.443299 -0.628250 -0.623930 0.225850 0.228930 0.164584 0.932467
1305031791.845123 0.459477 -0.618075 -0.616226 0.250473 0.238497 0.159637 0.924607
1305031791.881072 0.464086 -0.600432 -0.616003 0.270657 0.247803 0.155867 0.917084
1305031791.913193 0.489686 -0.600259 -0.625431 0.286325 0.248216 0.155592 0.912249
1305031791.948998 0.483601 -0.616117 -0.647830 0.299067 0.254727 0.154797 0.906483
