# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.005528 0.008246 0.001841 -0.009900 -0.000317 0.003813 0.999944
1305031790.713097 0.011435 0.013597 0.004659 -0.021073 -0.001201 0.007410 0.999750
1305031790.745223 0.021829 0.019735 0.008263 -0.029799 -0.003339 0.013168 0.999464
1305031790.781258 0.029969 0.026179 0.009181 -0.039021 -0.003293 0.020552 0.999022
1305031790.813207 0.035621 0.033939 0.009765 -0.050982 -0.002332 0.028486 0.998291
1305031790.845151 0.043614 0.039167 0.012511 -0.063671 -0.002417 0.035677 0.997330
1305031790.882094 0.052652 0.041603 0.013831 -0.075284 -0.000372 0.042613 0.996251
1305031790.913129 0.060577 0.038730 0.011393 -0.085304 0.004151 0.049196 0.995131
1305031790.945171 0.064944 0.039549 0.011309 -0.092131 0.009981 0.056337 0.994102
1305031790.981159 0.065023 0.034881 0.010688 -0.097286 0.016784 0.064789 0.993004
1305031791.013075 0.068258 0.023593 0.003507 -0.099881 0.022960 0.077887 0.991681
1305031791.045137 0.088046 0.007950 -0.002746 -0.095335 0.025993 0.085695 0.991409
1305031791.081293 0.089704 0.011466 -0.011747 -0.082630 0.036720 0.099549 0.990916
1305031791.113136 0.106302 -0.009316 -0.012994 -0.073564 0.044190 0.106462 0.990607
1305031791.145096 0.132214 -0.032419 -0.033493 -0.056034 0.054563 0.108829 0.990979
1305031791.181287 0.117936 -0.021323 -0.046070 -0.028428 0.079304 0.117886 0.989447
1305031791.213098 0.133585 -0.049141 -0.070423 -0.009947 0.094229 0.115299 0.988801
1305031791.245087 0.141961 -0.072694 -0.120623 0.009648 0.113351 0.107334 0.987693
1305031791.281340 0.141722 -0.082570 -0.129611 0.031084 0.133967 0.111423 0.984211
1305031791.313088 0.129003 -0.093163 -0.140134 0.060648 0.158474 0.111789 0.979138
1305031791.345123 0.190031 -0.107308 -0.218632 0.079071 0.156226 0.116759 0.977604
1305031791.382161 0.196026 -0.142477 -0.193268 0.090635 0.172371 0.128339 0.972421
1305031791.413087 0.313238 -0.292960 -0.334039 0.061779 0.155592 0.123799 0.978084
1305031791.445165 0.380311 -0.317065 -0.393418 0.076880 0.147753 0.131647 0.977204
1305031791.481375 0.384970 -0.288246 -0.389856 0.105958 0.156007 0.146188 0.971115
1305031791.513084 0.411386 -0.402654 -0.436147 0.098167 0.156941 0.157234 0.970057
1305031791.545065 0.423847 -0.413662 -0.442955 0.116470 0.161203 0.160181 0.966846
1305031791.581127 0.446909 -0.481989 -0.473144 0.118708 0.165107 0.177112 0.962953
1305031791.613194 0.486698 -0.537346 -0.500358 0.121297 0.162906 0.183348 0.961838
1305031791.645074 0.467400 -0.589508 -0.534244 0.132147 0.173893 0.182697 0.958603
1305031791.681062 0.433672 -0.581675 -0.534142 0.158986 0.189711 0.181518 0.951727
1305031791.713242 0.375685 -0.588476 -0.578177 0.179736 0.208776 0.187197 0.942902
