# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 -0.150562 0.037448 0.002663 0.008820 0.090078 0.109402 0.989868
1305031790.713097 -0.249672 0.062846 0.005134 0.009526 0.136662 0.172643 0.975411
1305031790.745223 -0.200707 0.056179 0.010084 -0.005557 0.107997 0.147938 0.983067
1305031790.781258 -0.151888 0.050323 0.015846 -0.017356 0.087781 0.131318 0.987294
1305031790.813207 -0.070061 0.039770 0.024681 -0.030937 0.060045 0.106156 0.992053
1305031790.845151 0.010107 0.028236 0.032035 -0.050897 0.020253 0.066901 0.996255
1305031790.882094 0.022854 0.027644 0.034501 -0.066304 0.009494 0.059513 0.995978
1305031790.913129 0.014925 0.029022 0.034018 -0.078990 0.010693 0.063091 0.994819
1305031790.945171 0.034085 0.025602 0.035082 -0.089396 0.005247 0.055668 0.994425
1305031790.981159 0.047865 0.021953 0.034594 -0.099080 -0.002954 0.044894 0.994062
1305031791.013075 0.022544 0.024040 0.030636 -0.103957 -0.006220 0.045037 0.993542
1305031791.045137 -0.035380 0.030090 0.022928 -0.099477 0.000706 0.058682 0.993308
1305031791.081293 0.013704 0.019523 0.023744 -0.080184 0.040109 0.111784 0.989680
1305031791.113136 0.012728 0.011876 0.015476 -0.063491 0.080576 0.162180 0.981414
1305031791.145096 0.011232 0.000126 0.002772 -0.039636 0.129239 0.208680 0.968597
1305031791.181287 0.010572 -0.005073 -0.002849 -0.008695 0.178602 0.242509 0.953528
1305031791.213098 0.010572 -0.005073 -0.002849 -0.008695 0.178602 0.242509 0.953528
1305031791.245087 0.010572 -0.005073 -0.002849 -0.008695 0.178602 0.242509 0.953528
1305031791.281340 0.010572 -0.005073 -0.002849 -0.008695 0.178602 0.242509 0.953528
1305031791.313088 0.010572 -0.005073 -0.002849 -0.008695 0.178602 0.242509 0.953528
1305031791.345123 0.091521 0.149856 -0.195569 0.013188 0.164945 0.227959 0.959507
1305031791.382161 0.202190 0.021599 -0.066799 0.016921 0.183711 0.249022 0.950764
1305031791.413087 0.513177 0.007604 -0.421616 -0.019826 0.166382 0.241157 0.955912
1305031791.445165 0.757503 0.244795 -0.768032 -0.004884 0.146567 0.233529 0.961228
1305031791.481375 0.908895 0.242751 -0.835114 0.044044 0.161825 0.294369 0.940861
1305031791.513084 1.007302 0.306174 -1.007363 0.032850 0.162900 0.312034 0.935425
1305031791.545065 0.826920 0.318242 -0.797632 0.057756 0.165218 0.327923 0.928350
1305031791.581127 0.906605 0.151806 -0.805210 0.072026 0.177662 0.419577 0.887245
1305031791.613194 0.583125 0.042793 -0.576162 0.066654 0.165938 0.410689 0.894067
1305031791.645074 0.382932 0.261626 -0.492292 0.055205 0.192797 0.400284 0.894178
1305031791.681062 0.153170 -0.252386 -0.242670 0.095700 0.208611 0.422379 0.876880
1305031791.713242 -0.324611 -0.833862 0.367180 0.157241 0.241377 0.546976 0.786021
1305031791.745148 0.035591 -0.471983 -0.057785 -0.043079 0.277239 0.202168 0.938302
1305031791.781286 0.002775 -0.428765 -0.045863 0.011127 0.284595 0.261751 0.922154
1305031791.813247 -0.001273 -0.429417 -0.050112 0.047762 0.286411 0.289451 0.912089
1305031791.845123 -0.002448 -0.429606 -0.051351 0.120135 0.293122 0.373839 0.871718
1305031791.881072 -0.004543 -0.429930 -0.053576 -0.016609 0.308437 0.054406 0.949542
1305031791.913193 -0.028053 -0.433409 -0.078832 0.384806 -0.078908 0.781917 -0.484050
1305031791.948998 -0.026842 -0.433217 -0.077410 0.154439 0.315356 0.345328 0.870315
1305031791.981259 -0.028655 -0.433485 -0.079355 -0.018448 0.307002 -0.042904 0.950562
1305031792.013213 -0.030829 -0.433805 -0.081681 -0.135797 0.258743 -0.318513 0.901754
1305031792.050221 -0.056759 -0.437632 -0.109446 -0.233512 0.215437 -0.502898 0.803836
1305031792.081058 2.110974 -0.583709 -2.135282 -0.206563 0.230594 -0.459724 0.832353
1305031792.113127 3.421550 -0.574704 -3.320167 -0.219462 0.219995 -0.493907 0.812092
1305031792.149109 1.924324 -0.570238 -1.952120 -0.237166 0.209318 -0.534610 0.783665
1305031792.181099 0.568711 -0.479721 -0.697542 0.322756 0.276594 0.723040 0.544553
1305031792.213166 2.221006 -0.635511 -2.123401 -0.338911 0.094231 -0.783923 0.511590
1305031792.249088 2.267005 -0.683034 -2.167649 -0.326507 0.112586 -0.756965 0.554726
1305031792.281069 -0.067458 1.208905 -0.351599 -0.337440 0.108994 -0.774597 0.523692
1305031792.313073 0.266763 0.882369 -0.599565 -0.339025 0.106882 -0.776012 0.521002
1305031792.349198 2.101645 -0.544932 -2.028715 -0.331038 0.109011 -0.761291 0.546778
