# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 -0.002967 0.003117 -0.012394 0.001662 -0.000417 -0.000509 0.999998
1341846313.721918 -0.000529 0.003489 -0.016279 0.001460 -0.000887 0.000012 0.999999
1341846313.753994 0.005829 -0.000044 -0.021503 0.000458 -0.001250 0.001677 0.999998
1341846313.789969 0.010547 0.004206 -0.014739 0.002242 -0.001858 0.000699 0.999996
1341846313.822075 0.008448 0.006639 -0.018471 0.002532 0.000586 -0.000205 0.999997
1341846313.853928 -0.005336 0.006851 -0.024243 0.002001 0.006492 -0.000914 0.999977
1341846313.890011 -0.005962 0.008116 -0.015267 0.001906 0.009005 -0.000911 0.999957
1341846313.922055 -0.013023 0.004078 -0.023724 -0.000917 0.010988 -0.000375 0.999939
1341846313.957927 -0.039461 0.002404 -0.023378 -0.002925 0.020661 0.001000 0.999782
1341846313.990058 -0.068783 0.000667 -0.033142 -0.004096 0.032572 0.001741 0.999459
1341846314.022042 -0.079155 -0.005148 -0.041147 -0.007142 0.035598 0.002703 0.999337
1341846314.057816 -0.081131 -0.020117 -0.044310 -0.012771 0.037152 0.006229 0.999209
1341846314.089801 -0.140300 -0.017778 -0.032996 -0.011052 0.055792 0.006278 0.998362
1341846314.122037 -0.141708 -0.025223 -0.042043 -0.013587 0.059522 0.008187 0.998101
1341846314.157989 -0.157384 -0.028004 -0.042729 -0.015901 0.065505 0.009447 0.997681
1341846314.190094 -0.179043 -0.030736 -0.039533 -0.016020 0.073896 0.010542 0.997082
1341846314.225969 -0.165024 -0.034824 -0.050878 -0.019030 0.072947 0.011574 0.997087
1341846314.257923 -0.182093 -0.036491 -0.051535 -0.020520 0.078229 0.011352 0.996660
1341846314.290052 -0.200754 -0.032173 -0.052651 -0.018100 0.082752 0.008585 0.996369
1341846314.325981 -0.207202 -0.054181 -0.059015 -0.023425 0.083561 0.007831 0.996197
1341846314.357905 -0.247648 -0.048448 -0.042698 -0.023189 0.092824 0.007698 0.995383
