# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 -0.001992 0.003168 -0.011923 0.001679 -0.000638 -0.000496 0.999998
1341846313.721918 0.000916 0.002048 -0.015643 0.001144 -0.001202 0.000187 0.999999
1341846313.753994 0.007211 0.000242 -0.020909 0.000521 -0.001553 0.001676 0.999997
1341846313.789969 0.011524 0.004393 -0.014357 0.002284 -0.002068 0.000709 0.999995
1341846313.822075 0.010530 0.005711 -0.017743 0.002328 0.000111 -0.000075 0.999997
1341846313.853928 -0.000296 0.006505 -0.023295 0.001943 0.005304 -0.000923 0.999984
1341846313.890011 0.000589 0.009669 -0.014574 0.002269 0.007440 -0.001199 0.999969
1341846313.922055 -0.005475 0.007797 -0.022942 -0.000092 0.009178 -0.000861 0.999958
1341846313.957927 -0.018406 0.012525 -0.022953 -0.000682 0.015665 -0.000092 0.999877
1341846313.990058 -0.043040 0.014902 -0.031847 -0.000906 0.026284 0.000105 0.999654
1341846314.022042 -0.054771 0.016945 -0.040184 -0.002300 0.029688 0.000712 0.999556
1341846314.057816 -0.060650 0.013631 -0.044498 -0.005426 0.032103 0.003161 0.999465
1341846314.089801 -0.106432 0.005107 -0.033132 -0.006032 0.047578 0.004450 0.998839
1341846314.122037 -0.098454 -0.035219 -0.039415 -0.015758 0.049498 0.008819 0.998611
1341846314.157989 -0.107648 -0.041357 -0.040859 -0.018781 0.053957 0.010497 0.998311
1341846314.190094 -0.116141 -0.042348 -0.040373 -0.018523 0.059238 0.011198 0.998009
1341846314.225969 -0.103618 -0.048065 -0.050407 -0.021823 0.058778 0.013087 0.997947
1341846314.257923 -0.115300 -0.049113 -0.051642 -0.023190 0.062886 0.013253 0.997663
1341846314.290052 -0.132867 -0.050934 -0.052448 -0.021994 0.067343 0.011489 0.997421
1341846314.325981 -0.139471 -0.070054 -0.059236 -0.026725 0.068299 0.011312 0.997243
1341846314.357905 -0.169250 -0.068575 -0.045293 -0.027368 0.075221 0.011520 0.996725
1341846314.389899 -0.176565 -0.055054 -0.034198 -0.023313 0.081645 0.009864 0.996340
1341846314.427905 -0.181764 -0.074176 -0.048811 -0.027611 0.079722 0.010111 0.996383
1341846314.493987 -0.203820 -0.068136 -0.041937 -0.024477 0.095938 0.000572 0.995086
1341846314.526085 -0.197959 -0.073827 -0.060276 -0.025642 0.093433 -0.000196 0.995295
1341846314.558292 -0.194397 -0.056829 -0.056426 -0.023456 0.095328 -0.001321 0.995169
1341846314.594085 -0.229881 -0.056771 -0.053435 -0.022238 0.106101 -0.003212 0.994102
1341846314.626096 -0.222508 -0.054015 -0.068130 -0.021266 0.107564 -0.003882 0.993963
1341846314.658455 -0.196779 -0.054403 -0.072609 -0.023107 0.105189 -0.003750 0.994177
1341846314.694004 -0.181321 -0.064801 -0.068077 -0.024792 0.107891 -0.005042 0.993841
1341846314.725910 -0.283292 -0.046589 -0.037926 -0.023461 0.127590 -0.017409 0.991397
1341846314.761942 -0.173325 -0.091526 -0.062283 -0.021548 0.110956 0.004484 0.993582
1341846314.794030 -0.219677 -0.088477 -0.053757 -0.018514 0.118338 0.005149 0.992787
1341846314.826092 -0.243554 -0.057434 -0.053752 -0.010418 0.126367 0.003040 0.991924
1341846314.862145 -0.370338 -0.080183 -0.055543 -0.013854 0.155638 0.007061 0.987692
1341846314.894072 -0.162685 -0.085494 -0.095742 -0.015134 0.117685 0.006645 0.992913
1341846314.925969 -0.224016 -0.078194 -0.065035 -0.013599 0.131707 0.006138 0.991176
1341846314.961937 -0.097689 -0.078237 -0.086537 -0.017372 0.114737 0.013831 0.993148
1341846314.994564 -0.095754 -0.086912 -0.095259 -0.022060 0.115210 0.015198 0.992980
1341846315.029900 -0.110996 -0.096642 -0.099347 -0.023609 0.121748 0.013362 0.992190
1341846315.061965 -0.101373 -0.080904 -0.076314 -0.020962 0.124193 0.013250 0.991948
1341846315.094388 -0.102689 -0.090319 -0.080218 -0.023025 0.124130 0.015100 0.991884
1341846315.129851 -0.119260 -0.074247 -0.081187 -0.018294 0.127591 0.010246 0.991605
1341846315.161941 -0.142586 -0.082338 -0.107636 -0.023833 0.131158 0.010836 0.991016
1341846315.197984 -0.144700 -0.066010 -0.113832 -0.022877 0.129044 0.016350 0.991240
1341846315.230076 -0.136225 -0.057988 -0.108174 -0.028055 0.127521 0.004687 0.991428
1341846315.262069 -0.154815 -0.048242 -0.110211 -0.028420 0.128356 0.004188 0.991312
1341846315.298000 -0.147249 -0.082083 -0.113300 -0.037228 0.123952 0.009604 0.991543
1341846315.329931 -0.156435 -0.108235 -0.106530 -0.040689 0.125188 0.009562 0.991252
1341846315.361981 -0.192813 -0.084155 -0.106233 -0.031914 0.131876 0.006970 0.990728
1341846315.397962 -0.168796 -0.066661 -0.100760 -0.027742 0.128137 0.006458 0.991347
1341846315.429923 -0.179343 -0.076520 -0.086063 -0.029851 0.132362 0.006044 0.990733
1341846315.466047 -0.180036 -0.060267 -0.081540 -0.026125 0.135378 0.001000 0.990449
1341846315.497883 -0.168407 -0.047156 -0.087037 -0.024919 0.138510 0.005751 0.990031
1341846315.530008 -0.169400 -0.047746 -0.082572 -0.025034 0.140381 0.006256 0.989761
1341846315.566108 -0.173452 -0.045944 -0.074585 -0.025824 0.143070 0.005994 0.989357
1341846315.597986 -0.175204 -0.040143 -0.073231 -0.025021 0.144316 0.004578 0.989205
1341846315.630109 -0.174823 -0.030909 -0.071674 -0.023601 0.144870 0.001667 0.989168
1341846315.666042 -0.170231 -0.013818 -0.081356 -0.022180 0.144409 -0.001853 0.989268
1341846315.698114 -0.216258 0.004928 -0.065801 -0.022987 0.155477 -0.006307 0.987552
1341846315.733985 -0.261807 -0.059424 -0.039025 -0.034011 0.167563 0.006476 0.985253
1341846315.766041 -0.309411 -0.053337 -0.031089 -0.035794 0.172745 -0.000994 0.984316
1341846315.798188 -0.312507 -0.041739 -0.036944 -0.033601 0.172646 0.002024 0.984409
1341846315.834140 -0.293547 -0.047140 -0.052559 -0.032107 0.165550 -0.001045 0.985678
1341846315.866751 -0.308918 -0.033036 -0.046851 -0.027976 0.169241 -0.004957 0.985165
1341846315.898492 -0.370904 -0.017506 -0.055497 -0.024309 0.180272 -0.006624 0.983294
1341846315.936901 -0.381680 -0.013151 -0.063820 -0.022019 0.182434 -0.008788 0.982932
1341846315.966572 -0.360865 -0.026701 -0.028329 -0.022397 0.180273 -0.011350 0.983296
1341846316.034204 -0.337711 0.010304 -0.033085 -0.015547 0.174091 -0.018779 0.984428
1341846316.066113 -0.349154 0.009184 -0.031351 -0.013423 0.174727 -0.018731 0.984347
1341846316.101867 -0.350149 0.004243 -0.032913 -0.012513 0.173007 -0.015437 0.984720
1341846316.134066 -0.369080 0.013593 -0.028532 -0.011641 0.172235 -0.015953 0.984858
1341846316.202049 -0.398667 0.003823 -0.007306 -0.013353 0.171763 -0.020067 0.984843
1341846316.233979 -0.412490 0.006203 -0.007616 -0.013025 0.172289 -0.022154 0.984711
1341846316.270052 -0.424669 -0.004254 -0.003403 -0.016560 0.173537 -0.025186 0.984366
1341846316.301915 -0.442043 -0.013781 0.009888 -0.017864 0.175545 -0.027667 0.983920
1341846316.334208 -0.432766 -0.012123 0.012724 -0.016043 0.171689 -0.026257 0.984671
1341846316.370006 -0.466237 -0.009530 0.026917 -0.014299 0.175848 -0.027823 0.983920
1341846316.401994 -0.477382 -0.011577 0.029452 -0.013184 0.175042 -0.026253 0.984123
1341846316.438069 -0.478757 -0.008464 0.032257 -0.011909 0.174324 -0.024492 0.984312
1341846316.470076 -0.505675 -0.020470 0.047213 -0.011614 0.176565 -0.022822 0.983956
1341846316.502034 -0.522500 -0.006465 0.054925 -0.007639 0.176457 -0.018622 0.984102
1341846316.537975 -0.525995 -0.007270 0.034935 -0.009488 0.172980 -0.017316 0.984727
1341846316.570121 -0.527744 -0.004716 0.053440 -0.009195 0.172845 -0.018276 0.984737
1341846316.601885 -0.548523 -0.002166 0.060347 -0.006943 0.174625 -0.019155 0.984424
1341846316.638009 -0.562504 -0.008800 0.067213 -0.005947 0.174698 -0.018639 0.984428
1341846316.669925 -0.566704 -0.012872 0.075032 -0.005049 0.174823 -0.019037 0.984403
1341846316.705941 -0.512681 0.032724 0.070080 0.007962 0.165664 -0.020361 0.985940
1341846316.738062 -0.529728 0.021878 0.069243 0.007824 0.165918 -0.018026 0.985944
1341846316.770433 -0.590710 0.001758 0.086921 0.003096 0.176442 -0.015187 0.984189
1341846316.805932 -0.586922 0.000354 0.098707 0.003592 0.175079 -0.015891 0.984420
1341846316.838029 -0.535529 0.029717 0.087304 0.010407 0.164279 -0.016996 0.986213
1341846316.870034 -0.531286 0.028314 0.083950 0.010837 0.159467 -0.015432 0.987023
1341846316.906344 -0.529392 0.034701 0.091405 0.012591 0.156352 -0.015350 0.987502
1341846316.937940 -0.492124 0.051545 0.058785 0.016076 0.148503 -0.013560 0.988688
1341846316.973994 -0.540778 0.047366 0.070724 0.014182 0.154668 -0.013198 0.987777
1341846317.005913 -0.515657 0.086349 0.067848 0.020819 0.145768 -0.012751 0.989018
1341846317.037936 -0.506723 0.075880 0.065828 0.018894 0.141043 -0.013855 0.989726
1341846317.073972 -0.525479 0.068308 0.080083 0.018565 0.141956 -0.014026 0.989599
1341846317.106113 -0.492486 0.063851 0.077498 0.020219 0.132866 -0.012254 0.990852
1341846317.137887 -0.483071 0.041663 0.074223 0.018358 0.125145 -0.010320 0.991915
1341846317.173970 -0.555258 0.049521 0.086074 0.021379 0.131688 -0.002451 0.991058
1341846317.205887 -0.492423 0.053595 0.072857 0.021141 0.114302 -0.006211 0.993202
1341846317.248131 -0.566149 0.032844 0.082406 0.018342 0.127130 -0.004706 0.991705
1341846317.306289 -0.549744 0.041226 0.078223 0.020132 0.112232 -0.004238 0.993469
1341846317.348137 -0.592048 0.036671 0.096198 0.020138 0.120547 -0.005155 0.992490
1341846317.410120 -0.600301 0.033878 0.086376 0.020988 0.118609 -0.000788 0.992719
1341846317.442569 -0.612266 0.021528 0.097336 0.020109 0.119827 -0.000753 0.992591
1341846317.474010 -0.578969 0.049743 0.089718 0.032315 0.112132 0.005803 0.993151
1341846317.509927 -0.576245 0.051468 0.085592 0.034848 0.107093 0.008820 0.993599
1341846317.542282 -0.576843 0.051361 0.079585 0.033776 0.103597 0.009733 0.993998
1341846317.573943 -0.536726 0.055524 0.089637 0.034902 0.098057 0.012530 0.994490
1341846317.610159 -0.558817 0.043688 0.091683 0.034753 0.101092 0.008143 0.994237
1341846317.643553 -0.574436 0.056041 0.087774 0.039507 0.101514 0.012170 0.993975
